測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
01213220,2025/09/16,11,0.007,0.002,0.007,0.009,,0.037,0.12,2.01,2.13,0.010,7,,,,,
01213220,2025/09/16,12,0.002,0.001,0.005,0.006,,0.039,0.08,2.01,2.09,0.013,3,,,,,
01213220,2025/09/16,13,0.001,0.001,0.004,0.005,,0.041,0.08,2.01,2.09,0.009,8,,,,,
01213220,2025/09/16,14,0.001,0.001,0.004,0.005,,0.041,0.16,2.01,2.17,0.013,8,,,,,
01213220,2025/09/16,15,0.002,0.001,0.005,0.006,,0.042,0.05,2.02,2.07,0.002,2,,,,,
01213220,2025/09/16,16,0.001,0.001,0.004,0.005,,0.046,0.05,2.01,2.06,0.007,3,,,,,
01213220,2025/09/16,17,0.001,0,0.005,0.005,,0.048,-,-,-,-,-,,,,,
01213220,2025/09/16,18,0.001,0,0.008,0.008,,0.040,0.08,2.03,2.11,0.011,2,,,,,
01213220,2025/09/16,19,0,0.002,0.013,0.015,,0.029,0.12,2.06,2.18,0.014,7,,,,,
01213220,2025/09/16,20,0.001,0.005,0.021,0.026,,0.019,0.23,2.08,2.31,0.009,5,,,,,
01213220,2025/09/16,21,0.001,0,0.014,0.014,,0.015,0.20,2.08,2.28,0.012,9,,,,,
01213220,2025/09/16,22,0,0,0.008,0.008,,0.015,0.13,2.11,2.24,0.009,5,,,,,
01213220,2025/09/16,23,0,0.001,0.010,0.011,,0.021,0.10,2.07,2.17,0.008,1,,,,,
01213220,2025/09/16,24,0,0,0.006,0.006,,0.023,0.07,2.02,2.09,0.003,4,,,,,
01213220,2025/09/17,01,0,0,0.006,0.006,,0.021,0.06,2.04,2.10,0.004,5,,,,,
01213220,2025/09/17,02,0,0,0.005,0.005,,0.023,0.06,2.05,2.11,0.009,7,,,,,
01213220,2025/09/17,03,0,0,0.004,0.004,,0.026,0.06,2.03,2.09,0.009,8,,,,,
01213220,2025/09/17,04,0,0,0.002,0.002,,0.031,0.06,2.00,2.06,0.009,5,,,,,
01213220,2025/09/17,05,0,0,0.002,0.002,,0.032,0.06,1.99,2.05,0.021,7,,,,,
