測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
40203060,2025/09/01,01,0.001,0,0.001,0.001,,0.010,,,,-,,,,,,
40203060,2025/09/01,02,0.001,0,0.005,0.005,,0.005,,,,-,,,,,,
40203060,2025/09/01,03,0.002,0.001,0.006,0.007,,0.004,,,,-,,,,,,
40203060,2025/09/01,04,0.004,0.001,0.003,0.004,,0.004,,,,-,,,,,,
40203060,2025/09/01,05,0.004,0.001,0.004,0.005,,0.004,,,,-,,,,,,
40203060,2025/09/01,06,0.003,0.001,0.004,0.005,,0.003,,,,-,,,,,,
40203060,2025/09/01,07,0.004,0.002,0.003,0.005,,0.003,,,,-,,,,,,
40203060,2025/09/01,08,0.004,0.003,0.002,0.005,,0.004,,,,-,,,,,,
40203060,2025/09/01,09,0.003,0.001,0.001,0.002,,0.007,,,,-,,,,,,
40203060,2025/09/01,10,0.003,0.001,0.001,0.002,,0.011,,,,-,,,,,,
40203060,2025/09/01,11,0.003,0.001,0.001,0.002,,0.013,,,,-,,,,,,
40203060,2025/09/01,12,0.003,0.001,0.002,0.003,,0.014,,,,-,,,,,,
40203060,2025/09/01,13,0.003,0.001,0.002,0.003,,0.017,,,,-,,,,,,
40203060,2025/09/01,14,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/01,15,0.001,0.001,0.002,0.003,,0.016,,,,-,,,,,,
40203060,2025/09/01,16,0.001,0.001,0.001,0.002,,0.016,,,,0.020,,,,,,
40203060,2025/09/01,17,0.001,0.001,0.001,0.002,,0.015,,,,-,,,,,,
40203060,2025/09/01,18,0.001,0.001,0.002,0.003,,0.014,,,,-,,,,,,
40203060,2025/09/01,19,0.001,0,0.002,0.002,,0.011,,,,-,,,,,,
40203060,2025/09/01,20,0.001,0,0.002,0.002,,0.010,,,,-,,,,,,
40203060,2025/09/01,21,0.001,0,0.001,0.001,,0.010,,,,-,,,,,,
40203060,2025/09/01,22,0.001,0,0.001,0.001,,0.009,,,,-,,,,,,
40203060,2025/09/01,23,0.001,0,0.001,0.001,,0.010,,,,-,,,,,,
40203060,2025/09/01,24,0.001,0,0.002,0.002,,0.007,,,,-,,,,,,
40203060,2025/09/02,01,0.001,0,0.003,0.003,,0.006,,,,-,,,,,,
40203060,2025/09/02,02,0.001,0,0.002,0.002,,0.008,,,,-,,,,,,
40203060,2025/09/02,03,0.002,0,0.002,0.002,,0.007,,,,-,,,,,,
40203060,2025/09/02,04,0.004,0,0.002,0.002,,0.007,,,,-,,,,,,
40203060,2025/09/02,05,0.004,0,0.003,0.003,,0.005,,,,-,,,,,,
40203060,2025/09/02,06,0.004,0.001,0.004,0.005,,0.004,,,,-,,,,,,
40203060,2025/09/02,07,0.003,0.001,0.004,0.005,,0.004,,,,-,,,,,,
40203060,2025/09/02,08,0.005,0.002,0.003,0.005,,0.006,,,,-,,,,,,
40203060,2025/09/02,09,0.004,0.001,0.004,0.005,,0.012,,,,-,,,,,,
40203060,2025/09/02,10,0.001,0.001,0.006,0.007,,0.023,,,,-,,,,,,
40203060,2025/09/02,11,0.001,0.001,0.004,0.005,,0.022,,,,-,,,,,,
40203060,2025/09/02,12,0.001,0.002,0.005,0.007,,0.019,,,,0.004,,,,,,
40203060,2025/09/02,13,0.001,0.001,0.004,0.005,,0.020,,,,0.003,,,,,,
40203060,2025/09/02,14,0.001,0.001,0.004,0.005,,0.027,,,,0.011,,,,,,
40203060,2025/09/02,15,0.002,0.001,0.005,0.006,,0.034,,,,0.012,,,,,,
40203060,2025/09/02,16,0.003,0.001,0.005,0.006,,0.036,,,,0.015,,,,,,
40203060,2025/09/02,17,0.003,0,0.003,0.003,,0.033,,,,0.014,,,,,,
40203060,2025/09/02,18,0.003,0,0.003,0.003,,0.028,,,,0.017,,,,,,
40203060,2025/09/02,19,0.003,0,0.003,0.003,,0.027,,,,0.020,,,,,,
40203060,2025/09/02,20,0.003,0,0.006,0.006,,0.024,,,,0.024,,,,,,
40203060,2025/09/02,21,0.002,0,0.007,0.007,,0.017,,,,0.014,,,,,,
40203060,2025/09/02,22,0.001,0,0.009,0.009,,0.015,,,,0.025,,,,,,
40203060,2025/09/02,23,0.001,0.001,0.007,0.008,,0.010,,,,0.019,,,,,,
40203060,2025/09/02,24,0.001,0,0.007,0.007,,0.008,,,,0.023,,,,,,
40203060,2025/09/03,01,0.001,0,0.007,0.007,,0.009,,,,0.021,,,,,,
40203060,2025/09/03,02,0.001,0,0.007,0.007,,0.009,,,,0.025,,,,,,
40203060,2025/09/03,03,0.001,0.001,0.007,0.008,,0.007,,,,0.022,,,,,,
40203060,2025/09/03,04,0.001,0.001,0.005,0.006,,0.007,,,,0.019,,,,,,
40203060,2025/09/03,05,0.001,0.001,0.005,0.006,,0.005,,,,0.018,,,,,,
40203060,2025/09/03,06,0.001,0.001,0.004,0.005,,0.006,,,,0.020,,,,,,
40203060,2025/09/03,07,0.001,0.002,0.004,0.006,,0.006,,,,0.017,,,,,,
40203060,2025/09/03,08,0.001,0.003,0.004,0.007,,0.008,,,,0.022,,,,,,
40203060,2025/09/03,09,0.001,0.002,0.004,0.006,,0.013,,,,0.020,,,,,,
40203060,2025/09/03,10,0.002,0.001,0.003,0.004,,0.028,,,,0.009,,,,,,
40203060,2025/09/03,11,0.002,0.001,0.003,0.004,,0.035,,,,0.022,,,,,,
40203060,2025/09/03,12,0.002,0.001,0.004,0.005,,0.042,,,,0.022,,,,,,
40203060,2025/09/03,13,0.002,0.001,0.003,0.004,,0.039,,,,0.007,,,,,,
40203060,2025/09/03,14,0.002,0,0.002,0.002,,0.037,,,,0.012,,,,,,
40203060,2025/09/03,15,0.002,0,0.002,0.002,,0.038,,,,0.015,,,,,,
40203060,2025/09/03,16,0.002,0,0.002,0.002,,0.041,,,,0.016,,,,,,
40203060,2025/09/03,17,0.003,0,0.002,0.002,,0.047,,,,0.019,,,,,,
40203060,2025/09/03,18,0.002,0,0.002,0.002,,0.035,,,,0.015,,,,,,
40203060,2025/09/03,19,0.001,0,0.004,0.004,,0.027,,,,0.021,,,,,,
40203060,2025/09/03,20,0.001,0,0.004,0.004,,0.025,,,,0.018,,,,,,
40203060,2025/09/03,21,0.001,0,0.004,0.004,,0.021,,,,0.008,,,,,,
40203060,2025/09/03,22,0.002,0,0.004,0.004,,0.018,,,,0.013,,,,,,
40203060,2025/09/03,23,0.001,0,0.003,0.003,,0.016,,,,0.010,,,,,,
40203060,2025/09/03,24,0.001,0,0.003,0.003,,0.014,,,,0.006,,,,,,
40203060,2025/09/04,01,0.001,0,0.003,0.003,,0.011,,,,0.004,,,,,,
40203060,2025/09/04,02,0.001,0,0.002,0.002,,0.010,,,,0.003,,,,,,
40203060,2025/09/04,03,0.001,0,0.002,0.002,,0.009,,,,0.001,,,,,,
40203060,2025/09/04,04,0.001,0.001,0.003,0.004,,0.008,,,,0.004,,,,,,
40203060,2025/09/04,05,0.001,0.001,0.003,0.004,,0.008,,,,0.004,,,,,,
40203060,2025/09/04,06,0.001,0.001,0.003,0.004,,0.007,,,,0.004,,,,,,
40203060,2025/09/04,07,0.001,0.001,0.003,0.004,,0.007,,,,0.005,,,,,,
40203060,2025/09/04,08,0.001,0.002,0.004,0.006,,0.007,,,,0.005,,,,,,
40203060,2025/09/04,09,0.001,0.002,0.004,0.006,,0.008,,,,0.005,,,,,,
40203060,2025/09/04,10,0.001,0.002,0.003,0.005,,0.010,,,,0.004,,,,,,
40203060,2025/09/04,11,0.001,0.002,0.003,0.005,,0.010,,,,0.004,,,,,,
40203060,2025/09/04,12,0.001,0.001,0.003,0.004,,0.012,,,,0.005,,,,,,
40203060,2025/09/04,13,0.001,0.001,0.003,0.004,,0.015,,,,0.004,,,,,,
40203060,2025/09/04,14,0.001,0.001,0.003,0.004,,0.017,,,,0.012,,,,,,
40203060,2025/09/04,15,0.001,0.001,0.003,0.004,,0.014,,,,0.005,,,,,,
40203060,2025/09/04,16,0.001,0.001,0.003,0.004,,0.012,,,,-,,,,,,
40203060,2025/09/04,17,0.001,0.002,0.004,0.006,,0.008,,,,-,,,,,,
40203060,2025/09/04,18,0.001,0.002,0.005,0.007,,0.006,,,,-,,,,,,
40203060,2025/09/04,19,0.001,0.001,0.003,0.004,,0.009,,,,-,,,,,,
40203060,2025/09/04,20,0.001,0.001,0.003,0.004,,0.008,,,,-,,,,,,
40203060,2025/09/04,21,0.001,0.001,0.003,0.004,,0.009,,,,-,,,,,,
40203060,2025/09/04,22,0.001,0,0.002,0.002,,0.013,,,,-,,,,,,
40203060,2025/09/04,23,0.001,0,0.003,0.003,,0.014,,,,-,,,,,,
40203060,2025/09/04,24,0.001,0,0.004,0.004,,0.011,,,,0.001,,,,,,
40203060,2025/09/05,01,0.001,0,0.005,0.005,,0.010,,,,0.004,,,,,,
40203060,2025/09/05,02,0.001,0,0.005,0.005,,0.007,,,,0.005,,,,,,
40203060,2025/09/05,03,0.001,0,0.007,0.007,,0.003,,,,0.006,,,,,,
40203060,2025/09/05,04,0.001,0.001,0.007,0.008,,0.002,,,,0.006,,,,,,
40203060,2025/09/05,05,0.001,0.001,0.006,0.007,,0.003,,,,0.006,,,,,,
40203060,2025/09/05,06,0.001,0.001,0.006,0.007,,0.004,,,,0.009,,,,,,
40203060,2025/09/05,07,0.001,0.002,0.006,0.008,,0.003,,,,0.021,,,,,,
40203060,2025/09/05,08,0.001,0.006,0.005,0.011,,0.005,,,,0.009,,,,,,
40203060,2025/09/05,09,0.001,0.006,0.005,0.011,,0.006,,,,-,,,,,,
40203060,2025/09/05,10,0.001,0.006,0.006,0.012,,0.008,,,,-,,,,,,
40203060,2025/09/05,11,0.001,0.003,0.005,0.008,,0.020,,,,-,,,,,,
40203060,2025/09/05,12,0.001,0.001,0.003,0.004,,0.034,,,,-,,,,,,
40203060,2025/09/05,13,0.001,0,0.003,0.003,,0.033,,,,-,,,,,,
40203060,2025/09/05,14,0.001,0,0.002,0.002,,0.032,,,,-,,,,,,
40203060,2025/09/05,15,0.001,0,0.002,0.002,,0.030,,,,-,,,,,,
40203060,2025/09/05,16,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,17,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,18,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,19,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,20,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,21,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,22,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,23,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/05,24,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,01,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,02,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,03,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,04,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,05,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,06,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,07,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,08,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,09,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,10,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,11,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,12,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,13,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,14,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,15,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,16,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,17,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,18,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,19,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,20,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,21,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,22,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,23,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/06,24,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,01,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,02,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,03,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,04,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,05,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,06,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,07,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,08,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,09,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,10,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,11,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,12,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,13,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,14,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,15,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,16,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,17,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,18,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,19,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,20,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,21,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,22,-,-,-,-,,-,,,,-,,,,,,
40203060,2025/09/07,23,-,-,-,-,,-,,,,-,,,,,,
