測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
02307950,2025/09/01,01,,,,,,,,,,,,,SE,1.4,23.0,97.0
02307950,2025/09/01,02,,,,,,,,,,,,,WNW,0.9,23.0,97.0
02307950,2025/09/01,03,,,,,,,,,,,,,CALM,0.2,23.2,98.0
02307950,2025/09/01,04,,,,,,,,,,,,,CALM,0,23.2,98.0
02307950,2025/09/01,05,,,,,,,,,,,,,WSW,0.4,23.4,98.0
02307950,2025/09/01,06,,,,,,,,,,,,,WSW,0.8,24.1,98.0
02307950,2025/09/01,07,,,,,,,,,,,,,WNW,0.3,25.9,98.0
02307950,2025/09/01,08,,,,,,,,,,,,,E,0.3,27.6,94.0
02307950,2025/09/01,09,,,,,,,,,,,,,W,0.8,29.6,87.0
02307950,2025/09/01,10,,,,,,,,,,,,,WSW,1.7,29.6,88.0
02307950,2025/09/01,11,,,,,,,,,,,,,WSW,4.9,30.7,80.0
02307950,2025/09/01,12,,,,,,,,,,,,,WSW,5.1,30.2,84.0
02307950,2025/09/01,13,,,,,,,,,,,,,SW,7.3,28.5,91.0
02307950,2025/09/01,14,,,,,,,,,,,,,SW,7.7,28.4,95.0
02307950,2025/09/01,15,,,,,,,,,,,,,WSW,7.4,27.9,97.0
02307950,2025/09/01,16,,,,,,,,,,,,,WSW,7.3,28.1,97.0
02307950,2025/09/01,17,,,,,,,,,,,,,SW,6.8,27.6,98.0
02307950,2025/09/01,18,,,,,,,,,,,,,SW,8.0,27.6,98.0
02307950,2025/09/01,19,,,,,,,,,,,,,WSW,4.6,27.4,99.0
02307950,2025/09/01,20,,,,,,,,,,,,,W,4.6,27.2,99.0
02307950,2025/09/01,21,,,,,,,,,,,,,SW,6.9,27.1,99.0
02307950,2025/09/01,22,,,,,,,,,,,,,W,6.1,26.5,99.0
02307950,2025/09/01,23,,,,,,,,,,,,,WSW,5.2,26.7,99.0
02307950,2025/09/01,24,,,,,,,,,,,,,WSW,5.6,25.3,99.0
02307950,2025/09/02,01,,,,,,,,,,,,,W,7.4,25.5,99.0
02307950,2025/09/02,02,,,,,,,,,,,,,WSW,5.9,25.3,99.0
02307950,2025/09/02,03,,,,,,,,,,,,,W,4.2,25.8,99.0
02307950,2025/09/02,04,,,,,,,,,,,,,W,4.6,26.0,99.0
02307950,2025/09/02,05,,,,,,,,,,,,,W,5.1,26.0,99.0
02307950,2025/09/02,06,,,,,,,,,,,,,W,4.9,26.1,99.0
02307950,2025/09/02,07,,,,,,,,,,,,,WSW,5.6,25.5,99.0
02307950,2025/09/02,08,,,,,,,,,,,,,SW,6.3,24.8,99.0
02307950,2025/09/02,09,,,,,,,,,,,,,WSW,4.0,24.1,99.0
02307950,2025/09/02,10,,,,,,,,,,,,,WSW,4.6,24.3,99.0
02307950,2025/09/02,11,,,,,,,,,,,,,SW,3.2,24.6,99.0
02307950,2025/09/02,12,,,,,,,,,,,,,WSW,5.7,24.4,99.0
02307950,2025/09/02,13,,,,,,,,,,,,,SW,3.5,21.7,99.0
02307950,2025/09/02,14,,,,,,,,,,,,,SW,3.6,22.9,99.0
