測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12208010,2025/09/01,01,0.001,0,0.007,0.007,,0.021,0.07,1.97,2.04,0.060,11,,SSE,0.6,28.6,85.0
12208010,2025/09/01,02,0.001,0,0.007,0.007,,0.021,0.08,1.97,2.05,0.067,12,,SSE,0.6,27.9,88.0
12208010,2025/09/01,03,0.001,0,0.006,0.006,,0.022,0.07,1.97,2.04,0.052,10,,SSE,0.6,27.8,88.0
12208010,2025/09/01,04,0,0,0.006,0.006,,0.023,0.07,1.95,2.02,0.048,12,,SSE,0.4,27.6,89.0
12208010,2025/09/01,05,0.001,0,0.007,0.007,,0.022,0.10,1.95,2.05,0.045,10,,S,0.7,27.5,90.0
12208010,2025/09/01,06,0,0,0.008,0.008,,0.024,0.09,1.95,2.04,0.045,10,,SSE,0.5,27.8,89.0
12208010,2025/09/01,07,0.001,0.001,0.010,0.011,,0.026,0.07,1.96,2.03,0.050,11,,S,1.1,28.6,86.0
12208010,2025/09/01,08,0,0.001,0.009,0.010,,0.040,0.08,1.97,2.05,0.032,13,,S,0.9,29.8,72.0
12208010,2025/09/01,09,0,0,0.006,0.006,,0.057,0.08,1.94,2.02,0.037,19,,S,1.4,30.7,68.0
12208010,2025/09/01,10,0.001,0.001,0.007,0.008,,0.062,0.08,1.94,2.02,0.038,21,,SSE,1.5,32.1,61.0
12208010,2025/09/01,11,0,0,0.006,0.006,,0.071,0.08,1.94,2.02,0.037,26,,S,1.5,33.7,54.0
12208010,2025/09/01,12,0.001,0.002,0.006,0.008,,0.079,0.09,1.95,2.04,0.061,28,,S,1.6,34.3,56.0
12208010,2025/09/01,13,0.001,0,0.008,0.008,,0.093,0.10,1.96,2.06,0.050,24,,SSE,1.6,35.2,51.0
12208010,2025/09/01,14,0.001,0,0.008,0.008,,0.084,0.10,1.96,2.06,0.039,22,,SSE,1.6,35.6,49.0
12208010,2025/09/01,15,0.001,0,0.006,0.006,,0.063,0.09,1.93,2.02,0.028,13,,SSE,2.3,34.7,53.0
12208010,2025/09/01,16,0.001,0.001,0.006,0.007,,0.047,0.06,1.92,1.98,0.027,9,,SSE,2.2,34.2,56.0
12208010,2025/09/01,17,0.001,0.001,0.008,0.009,,0.037,0.07,1.92,1.99,0.025,6,,SSE,2.1,32.5,62.0
12208010,2025/09/01,18,0.001,0.001,0.009,0.010,,0.025,0.07,1.91,1.98,0.022,2,,SSE,1.8,30.3,73.0
12208010,2025/09/01,19,0.001,0,0.007,0.007,,0.019,0.05,1.90,1.95,0.016,0,,SSE,1.9,29.4,78.0
12208010,2025/09/01,20,0.001,0,0.006,0.006,,0.016,0.04,1.90,1.94,0.017,3,,SSE,1.9,28.8,82.0
12208010,2025/09/01,21,0.001,0,0.008,0.008,,0.012,0.05,1.90,1.95,0.014,4,,SSE,1.7,28.6,85.0
12208010,2025/09/01,22,0.001,0,0.010,0.010,,0.008,0.07,1.90,1.97,0.026,4,,SSE,0.9,28.6,85.0
12208010,2025/09/01,23,0,0,0.010,0.010,,0.008,0.08,1.91,1.99,0.014,5,,SSE,0.9,28.4,83.0
12208010,2025/09/01,24,0.001,0,0.010,0.010,,0.008,0.08,1.93,2.01,0.011,4,,SSE,0.6,28.6,77.0
12208010,2025/09/02,01,0.001,0,0.011,0.011,,0.008,0.07,1.95,2.02,0.012,3,,SSE,0.5,28.3,80.0
12208010,2025/09/02,02,-,-,-,-,,-,-,-,-,0.012,4,,CALM,0.2,27.9,78.0
12208010,2025/09/02,03,0.001,0,0.010,0.010,,0.007,0.08,1.95,2.03,0.010,3,,S,0.6,28.2,77.0
12208010,2025/09/02,04,0.001,0,0.005,0.005,,0.011,0.05,1.92,1.97,0.010,2,,S,0.6,28.0,78.0
12208010,2025/09/02,05,0,0.001,0.009,0.010,,0.008,0.07,1.92,1.99,0.018,5,,SSW,0.5,27.8,83.0
12208010,2025/09/02,06,0.001,0.005,0.015,0.020,,0.003,0.19,2.02,2.21,0.019,5,,W,0.5,27.7,88.0
12208010,2025/09/02,07,0.001,0.008,0.012,0.020,,0.007,0.17,2.04,2.21,0.021,6,,SW,0.6,29.0,81.0
