測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07203130,2025/09/01,01,0,0.001,0.003,0.004,,0.013,,,,0.021,12,,SSE,0.8,25.0,88.1
07203130,2025/09/01,02,0,0,0.003,0.003,,0.013,,,,0.019,12,,S,1.4,24.7,89.9
07203130,2025/09/01,03,0.001,0.001,0.003,0.004,,0.011,,,,0.023,13,,SSE,1.3,24.7,90.7
07203130,2025/09/01,04,0.001,0.001,0.004,0.005,,0.011,,,,0.021,13,,SSW,1.9,24.6,89.1
07203130,2025/09/01,05,0,0.014,0.018,0.032,,0.005,,,,0.026,16,,SSW,1.6,24.8,89.6
07203130,2025/09/01,06,0.001,0.005,0.018,0.023,,0.008,,,,0.033,20,,SSW,1.6,25.2,89.5
07203130,2025/09/01,07,0,0.002,0.009,0.011,,0.017,,,,0.037,22,,SSE,2.9,26.6,84.5
07203130,2025/09/01,08,0.001,0.001,0.005,0.006,,0.025,,,,0.038,22,,S,3.3,28.2,75.1
07203130,2025/09/01,09,0,0.002,0.006,0.008,,0.030,,,,0.031,19,,S,3.9,30.4,69.5
07203130,2025/09/01,10,0.001,0.001,0.006,0.007,,0.039,,,,0.027,17,,SSW,4.2,31.5,61.9
07203130,2025/09/01,11,0.001,0.001,0.003,0.004,,0.046,,,,0.025,17,,SSW,4.1,32.6,56.9
07203130,2025/09/01,12,0.001,0.001,0.004,0.005,,0.050,,,,0.026,18,,SSW,3.3,33.8,52.3
07203130,2025/09/01,13,0.001,0.001,0.003,0.004,,0.052,,,,0.018,14,,SSW,3.1,34.4,48.4
07203130,2025/09/01,14,0.001,0,0.002,0.002,,0.053,,,,0.023,16,,S,3.5,35.3,48.5
07203130,2025/09/01,15,0.001,0,0.002,0.002,,0.052,,,,0.022,16,,SSW,3.0,35.5,49.7
07203130,2025/09/01,16,0.001,0.001,0.003,0.004,,0.052,,,,0.024,16,,SW,2.9,35.4,48.5
07203130,2025/09/01,17,0.001,0,0.004,0.004,,0.053,,,,0.029,20,,SSW,3.4,34.2,52.9
07203130,2025/09/01,18,0.001,0,0.004,0.004,,0.058,,,,0.030,19,,SSW,2.7,32.6,58.1
07203130,2025/09/01,19,0.001,0,0.010,0.010,,0.050,,,,0.027,17,,SSE,2.0,31.1,63.4
07203130,2025/09/01,20,0.001,0,0.004,0.004,,0.049,,,,0.030,17,,S,2.8,30.1,70.6
07203130,2025/09/01,21,0.001,0,0.011,0.011,,0.039,,,,0.030,19,,S,2.6,29.3,75.8
07203130,2025/09/01,22,0.001,0,0.005,0.005,,0.043,,,,0.029,17,,S,2.9,28.5,77.7
07203130,2025/09/01,23,0.001,0,0.008,0.008,,0.035,,,,0.030,17,,S,2.9,27.7,78.6
07203130,2025/09/01,24,0.001,0.001,0.009,0.010,,0.026,,,,0.023,14,,S,3.2,27.0,80.1
07203130,2025/09/02,01,0.001,0,0.007,0.007,,0.022,,,,0.020,13,,SSE,1.7,26.3,81.7
07203130,2025/09/02,02,0.001,-,-,-,,0.019,,,,0.019,12,,S,1.8,26.0,84.0
07203130,2025/09/02,03,0.001,0.001,0.006,0.007,,0.015,,,,0.015,10,,S,2.2,25.7,85.9
07203130,2025/09/02,04,0.001,0.001,0.010,0.011,,0.008,,,,0.017,10,,S,1.3,25.4,88.2
07203130,2025/09/02,05,0.001,0.001,0.009,0.010,,0.007,,,,0.017,10,,S,2.7,24.9,89.0
07203130,2025/09/02,06,0.001,0.001,0.005,0.006,,0.008,,,,0.016,9,,S,1.9,25.0,89.4
07203130,2025/09/02,07,0.001,0.002,0.005,0.007,,0.010,,,,0.018,10,,S,2.8,26.8,84.7
07203130,2025/09/02,08,0.001,0.002,0.005,0.007,,0.017,,,,0.017,10,,S,3.4,28.3,77.5
07203130,2025/09/02,09,0.001,0.002,0.005,0.007,,0.028,,,,0.023,13,,S,2.9,30.4,70.7
07203130,2025/09/02,10,0.001,0.002,0.007,0.009,,0.037,,,,0.023,13,,SSE,3.0,32.6,62.2
07203130,2025/09/02,11,0.001,0.001,0.005,0.006,,0.048,,,,0.022,14,,W,1.8,34.9,48.2
07203130,2025/09/02,12,0.001,0.001,0.004,0.005,,0.045,,,,0.015,12,,NW,3.0,35.7,41.6
07203130,2025/09/02,13,0.001,0,0.003,0.003,,0.045,,,,0.011,10,,NW,2.5,36.1,40.2
07203130,2025/09/02,14,0.001,0,0.003,0.003,,0.042,,,,0.015,12,,W,2.4,36.2,39.2
07203130,2025/09/02,15,0.001,0.001,0.003,0.004,,0.041,,,,0.012,10,,NW,2.4,35.1,41.7
07203130,2025/09/02,16,0.001,0,0.003,0.003,,0.036,,,,0.019,14,,WNW,3.5,34.0,46.4
07203130,2025/09/02,17,0.001,0,0.004,0.004,,0.035,,,,0.014,12,,WSW,2.8,32.0,50.8
07203130,2025/09/02,18,0.001,0.002,0.017,0.019,,0.022,,,,0.017,12,,SSE,2.7,29.2,70.3
07203130,2025/09/02,19,0.001,0.002,0.015,0.017,,0.017,,,,0.019,12,,SSW,3.7,26.4,83.2
07203130,2025/09/02,20,0,0.001,0.008,0.009,,0.020,,,,0.017,11,,SSW,2.4,26.1,86.3
07203130,2025/09/02,21,0,0.005,0.015,0.020,,0.015,,,,0.013,8,,NW,4.2,26.3,67.7
07203130,2025/09/02,22,0,0,0.003,0.003,,0.028,,,,0.013,9,,ENE,1.5,23.8,93.5
07203130,2025/09/02,23,0.001,0,0.003,0.003,,0.022,,,,0.009,7,,SSE,1.6,23.3,91.4
07203130,2025/09/02,24,0,0.003,0.009,0.012,,0.013,,,,0.009,6,,SSE,2.1,23.0,92.6
07203130,2025/09/03,01,0,0,0.003,0.003,,0.014,,,,0.010,7,,SSE,1.6,22.8,92.1
07203130,2025/09/03,02,-,0.001,0.003,0.004,,0.010,,,,0.010,6,,CALM,0.5,22.3,93.8
07203130,2025/09/03,03,0.001,0.006,0.007,0.013,,0.005,,,,0.010,7,,S,0.7,22.5,92.0
07203130,2025/09/03,04,0,0.001,0.004,0.005,,0.005,,,,0.010,6,,S,2.0,22.5,92.6
07203130,2025/09/03,05,0.001,0.001,0.005,0.006,,0.015,,,,0.008,6,,ESE,1.4,23.5,87.1
07203130,2025/09/03,06,0.001,0,0.007,0.007,,0.022,,,,0.006,4,,SSE,0.8,23.4,88.6
07203130,2025/09/03,07,0.001,0,0.005,0.005,,0.029,,,,0.005,3,,NNW,2.1,24.3,83.7
07203130,2025/09/03,08,0,0,0.005,0.005,,0.033,,,,0.002,1,,WSW,1.1,25.0,80.2
07203130,2025/09/03,09,0,0.001,0.005,0.006,,0.034,,,,0.004,3,,WSW,2.0,24.9,82.0
07203130,2025/09/03,10,0.001,0.001,0.005,0.006,,0.033,,,,0.003,3,,WNW,3.2,26.7,76.4
07203130,2025/09/03,11,0.001,0.001,0.003,0.004,,0.037,,,,0.001,0,,NNW,1.4,27.8,67.7
07203130,2025/09/03,12,0.001,0.001,0.003,0.004,,0.040,,,,0.005,3,,NW,3.3,30.3,59.0
07203130,2025/09/03,13,0,0.001,0.002,0.003,,0.043,,,,0.006,5,,WSW,3.9,30.9,53.5
07203130,2025/09/03,14,0,0.001,0.003,0.004,,0.043,,,,0.006,5,,W,3.8,32.3,46.9
07203130,2025/09/03,15,0.001,0.001,0.002,0.003,,0.043,,,,0.005,4,,NW,3.1,32.0,46.8
07203130,2025/09/03,16,0.001,0.001,0.003,0.004,,0.046,,,,0.005,3,,NNW,3.5,31.4,44.3
07203130,2025/09/03,17,0,0,0.003,0.003,,0.048,,,,0.006,5,,NNW,2.4,30.9,42.9
07203130,2025/09/03,18,0,0,0.003,0.003,,0.044,,,,0.007,6,,NE,2.7,28.7,59.7
07203130,2025/09/03,19,0,0,0.003,0.003,,0.037,,,,0.009,6,,NE,2.0,26.9,66.8
07203130,2025/09/03,20,0.001,0,0.005,0.005,,0.034,,,,0.011,7,,NNE,1.2,26.7,67.1
07203130,2025/09/03,21,0.001,0,0.008,0.008,,0.026,,,,0.009,8,,N,1.3,25.4,72.0
07203130,2025/09/03,22,0.001,0,0.008,0.008,,0.019,,,,0.013,9,,NE,1.6,24.0,81.0
07203130,2025/09/03,23,0.001,0.001,0.010,0.011,,0.013,,,,0.012,8,,NNE,1.5,23.3,83.9
07203130,2025/09/03,24,0.001,0,0.006,0.006,,0.014,,,,0.011,7,,NW,1.1,23.2,83.7
07203130,2025/09/04,01,0.001,0.001,0.006,0.007,,0.011,,,,0.012,8,,NNE,1.4,23.1,83.8
07203130,2025/09/04,02,0.001,0,0.008,0.008,,0.010,,,,0.012,8,,NNE,1.9,23.1,83.4
07203130,2025/09/04,03,0.001,0,0.008,0.008,,0.013,,,,0.008,5,,N,1.8,23.1,79.1
07203130,2025/09/04,04,0.001,0,0.008,0.008,,0.016,,,,0.011,8,,NNE,2.3,22.4,84.2
07203130,2025/09/04,05,0.001,0,0.004,0.004,,0.015,,,,0.010,6,,NNE,1.9,22.2,85.9
07203130,2025/09/04,06,0.001,0,0.004,0.004,,0.018,,,,0.009,6,,NNE,1.5,22.6,82.9
07203130,2025/09/04,07,0.001,0.001,0.004,0.005,,0.020,,,,0.010,6,,NNE,1.7,22.7,80.3
07203130,2025/09/04,08,0.001,0.001,0.005,0.006,,0.021,,,,0.010,7,,NNE,3.0,22.8,81.2
07203130,2025/09/04,09,0.001,0.001,0.004,0.005,,0.024,,,,0.009,6,,NE,2.7,24.1,74.6
07203130,2025/09/04,10,0.002,0.001,0.004,0.005,,0.028,,,,0.005,3,,NNE,2.1,24.4,72.4
07203130,2025/09/04,11,0.002,0.001,0.004,0.005,,0.033,,,,0.008,6,,NNE,2.8,25.8,65.8
07203130,2025/09/04,12,0.001,0,0.002,0.002,,0.039,,,,0.008,6,,NE,2.0,26.0,68.5
07203130,2025/09/04,13,0.001,0,0.003,0.003,,0.038,,,,0.009,7,,NNE,2.5,26.9,66.1
07203130,2025/09/04,14,0.001,0.001,0.003,0.004,,-,,,,0.010,7,,E,1.2,27.9,65.2
07203130,2025/09/04,15,-,-,-,-,,0.039,,,,0.014,9,,NE,1.5,27.3,67.3
07203130,2025/09/04,16,0.001,0,0.001,0.001,,0.037,,,,0.009,6,,NNE,1.3,27.3,71.3
07203130,2025/09/04,17,0.001,0,0.002,0.002,,0.032,,,,0.007,6,,NNE,2.1,26.8,73.6
07203130,2025/09/04,18,0.001,0,0.004,0.004,,0.028,,,,0.012,7,,N,3.8,25.6,78.4
