測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12218020,2025/09/01,01,,,,,,0.020,0.03,1.86,1.89,0.015,5,,WSW,0.4,27.0,-
12218020,2025/09/01,02,,,,,,0.018,0.03,1.86,1.89,0.014,6,,WSW,0.3,26.9,-
12218020,2025/09/01,03,,,,,,0.018,0.04,1.86,1.90,0.014,5,,W,0.3,26.9,-
12218020,2025/09/01,04,,,,,,0.016,0.02,1.86,1.88,0.012,5,,WSW,0.5,26.6,-
12218020,2025/09/01,05,,,,,,0.018,0.05,1.87,1.92,0.013,4,,WSW,0.4,26.7,-
12218020,2025/09/01,06,,,,,,0.018,0.03,1.86,1.89,0.011,3,,W,0.5,26.8,-
12218020,2025/09/01,07,,,,,,0.021,0.02,1.87,1.89,0.011,6,,WSW,1.1,27.2,100.0
12218020,2025/09/01,08,,,,,,0.028,0.03,1.87,1.90,0.018,9,,SW,0.8,27.9,99.0
12218020,2025/09/01,09,,,,,,0.033,0.02,1.87,1.89,0.016,8,,WSW,1.0,28.5,92.0
12218020,2025/09/01,10,,,,,,0.035,0.06,1.88,1.94,0.013,6,,WSW,0.9,29.7,85.0
12218020,2025/09/01,11,,,,,,0.028,0.05,1.87,1.92,0.012,4,,SW,1.9,30.4,84.0
12218020,2025/09/01,12,,,,,,0.026,0.04,1.86,1.90,0.009,5,,WSW,1.1,30.6,80.0
12218020,2025/09/01,13,,,,,,0.021,0.04,1.87,1.91,0.006,3,,WSW,1.4,30.9,77.0
12218020,2025/09/01,14,,,,,,0.021,0.05,1.86,1.91,0.008,4,,WSW,1.1,30.1,81.0
12218020,2025/09/01,15,,,,,,0.021,0.04,1.86,1.90,0.009,3,,WSW,1.7,29.7,85.0
12218020,2025/09/01,16,,,,,,0.020,0.04,1.86,1.90,0.009,4,,WSW,1.2,29.2,89.0
12218020,2025/09/01,17,,,,,,0.020,0.03,1.86,1.89,0.007,4,,WSW,1.2,28.3,94.0
12218020,2025/09/01,18,,,,,,0.017,0.06,1.86,1.92,0.011,0,,WSW,0.8,27.4,100.0
12218020,2025/09/01,19,,,,,,0.018,0.04,1.86,1.90,0.010,2,,W,0.9,27.2,100.0
12218020,2025/09/01,20,,,,,,0.017,0.03,1.87,1.90,0.011,3,,WSW,0.9,26.9,100.0
12218020,2025/09/01,21,,,,,,0.014,0.05,1.88,1.93,0.010,3,,WSW,0.7,26.7,100.0
12218020,2025/09/01,22,,,,,,0.013,0.04,1.87,1.91,0.011,5,,WSW,1.3,26.8,100.0
12218020,2025/09/01,23,,,,,,0.014,0.05,1.87,1.92,0.009,2,,WSW,1.9,26.7,100.0
12218020,2025/09/01,24,,,,,,0.014,0.03,1.86,1.89,0.009,3,,WSW,1.4,26.6,100.0
12218020,2025/09/02,01,,,,,,0.013,0.05,1.87,1.92,0.010,2,,WSW,1.0,26.5,100.0
12218020,2025/09/02,02,,,,,,0.013,0.04,1.87,1.91,0.007,2,,WSW,1.1,26.5,100.0
12218020,2025/09/02,03,,,,,,0.010,0.02,1.86,1.88,0.008,2,,WSW,1.1,26.2,100.0
12218020,2025/09/02,04,,,,,,0.009,0.04,1.87,1.91,0.007,1,,SW,1.0,26.1,99.0
12218020,2025/09/02,05,,,,,,0.006,0.03,1.87,1.90,0.008,3,,WSW,0.8,25.9,100.0
12218020,2025/09/02,06,,,,,,0.004,0.02,1.87,1.89,0.010,2,,WSW,0.9,26.1,-
12218020,2025/09/02,07,,,,,,0.006,0.03,1.87,1.90,0.009,3,,WSW,1.1,27.0,100.0
12218020,2025/09/02,08,,,,,,0.009,0.03,1.86,1.89,0.009,3,,SW,1.3,28.1,92.0
12218020,2025/09/02,09,,,,,,0.011,0.05,1.87,1.92,0.009,4,,WSW,1.4,29.1,89.0
12218020,2025/09/02,10,,,,,,0.015,0.03,1.86,1.89,0.010,5,,WSW,1.6,29.2,89.0
12218020,2025/09/02,11,,,,,,0.018,0.04,1.86,1.90,0.008,4,,WSW,1.9,30.0,84.0
12218020,2025/09/02,12,,,,,,0.019,0.04,1.87,1.91,0.008,4,,WSW,2.0,30.1,82.0
12218020,2025/09/02,13,,,,,,0.017,0.03,1.86,1.89,0.009,3,,WSW,2.4,30.2,81.0
12218020,2025/09/02,14,,,,,,0.017,0.04,1.87,1.91,0.011,5,,WSW,2.3,29.8,83.0
12218020,2025/09/02,15,,,,,,0.017,0.05,1.86,1.91,0.012,3,,WSW,2.0,29.3,86.0
12218020,2025/09/02,16,,,,,,0.016,0.05,1.86,1.91,0.012,1,,WSW,1.5,28.0,94.0
12218020,2025/09/02,17,,,,,,0.013,0.04,1.86,1.90,0.008,3,,WSW,1.9,27.6,97.0
12218020,2025/09/02,18,,,,,,0.011,0.06,1.86,1.92,0.011,3,,WSW,2.2,27.1,100.0
12218020,2025/09/02,19,,,,,,0.013,0.04,1.87,1.91,0.010,1,,WSW,2.4,27.2,100.0
12218020,2025/09/02,20,,,,,,0.012,0.02,1.86,1.88,0.011,1,,WSW,2.2,26.9,100.0
12218020,2025/09/02,21,,,,,,0.010,0.03,1.86,1.89,0.008,2,,WSW,2.2,26.7,100.0
12218020,2025/09/02,22,,,,,,0.010,0.05,1.87,1.92,0.010,3,,WSW,1.8,26.9,100.0
12218020,2025/09/02,23,,,,,,0.010,0.02,1.86,1.88,0.008,2,,SW,2.1,26.9,100.0
12218020,2025/09/02,24,,,,,,0.011,0.04,1.87,1.91,0.006,1,,WSW,1.3,27.1,96.0
12218020,2025/09/03,01,,,,,,0.010,0.02,1.87,1.89,0.013,4,,WSW,1.6,26.7,100.0
12218020,2025/09/03,02,,,,,,0.010,-,-,-,0.011,3,,WSW,1.6,26.7,100.0
12218020,2025/09/03,03,,,,,,0.009,0.01,1.86,1.87,0.009,3,,WSW,1.9,26.6,100.0
12218020,2025/09/03,04,,,,,,0.009,0.03,1.87,1.90,0.011,1,,WSW,1.5,26.6,100.0
12218020,2025/09/03,05,,,,,,0.009,0.03,1.87,1.90,0.007,3,,SW,1.6,26.9,93.0
12218020,2025/09/03,06,,,,,,0.009,0.04,1.87,1.91,0.010,4,,SW,1.5,27.1,97.0
12218020,2025/09/03,07,,,,,,0.009,0.02,1.87,1.89,0.006,3,,SW,1.7,27.5,94.0
12218020,2025/09/03,08,,,,,,0.009,0.04,1.87,1.91,0.011,4,,WSW,1.8,28.3,93.0
12218020,2025/09/03,09,,,,,,0.012,0.04,1.86,1.90,0.009,4,,WSW,1.1,29.9,81.0
12218020,2025/09/03,10,,,,,,0.019,0.05,1.87,1.92,0.010,3,,WSW,1.4,30.9,74.0
12218020,2025/09/03,11,,,,,,0.019,0.05,1.86,1.91,0.013,5,,SW,1.0,29.6,87.0
12218020,2025/09/03,12,,,,,,0.019,0.05,1.85,1.90,0.012,5,,WSW,2.1,30.6,88.0
12218020,2025/09/03,13,,,,,,0.019,0.05,1.85,1.90,0.010,0,,WSW,1.6,29.9,88.0
12218020,2025/09/03,14,,,,,,0.016,0.04,1.85,1.89,0.007,2,,WSW,1.8,30.2,86.0
12218020,2025/09/03,15,,,,,,0.016,0.03,1.85,1.88,0.010,6,,WSW,1.5,29.2,88.0
12218020,2025/09/03,16,,,,,,0.018,0.04,1.86,1.90,0.014,5,,WSW,1.5,28.0,97.0
12218020,2025/09/03,17,,,,,,0.015,0.04,1.85,1.89,0.009,4,,SW,0.9,27.2,98.0
12218020,2025/09/03,18,,,,,,0.015,0.03,1.86,1.89,0.013,2,,SW,1.3,26.7,100.0
12218020,2025/09/03,19,,,,,,0.012,0.06,1.87,1.93,0.014,3,,SSW,0.5,26.2,100.0
12218020,2025/09/03,20,,,,,,0.011,0.03,1.86,1.89,0.012,3,,CALM,0.2,26.2,100.0
