測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
28210030,2025/09/01,01,0,0,0.002,0.002,,,,,,0.009,4,,ENE,0.8,,
28210030,2025/09/01,02,0,0.001,0.003,0.004,,,,,,0.015,5,,SSW,1.9,,
28210030,2025/09/01,03,0,0.001,0.005,0.006,,,,,,0.007,4,,S,3.6,,
28210030,2025/09/01,04,0,0.001,0.005,0.006,,,,,,0.009,3,,SSE,2.9,,
28210030,2025/09/01,05,0,0.002,0.006,0.008,,,,,,0.008,4,,S,2.6,,
28210030,2025/09/01,06,0.002,0.001,0.006,0.007,,,,,,0.017,7,,SSW,1.4,,
28210030,2025/09/01,07,0.003,0.003,0.009,0.012,,,,,,0.022,10,,S,1.4,,
28210030,2025/09/01,08,0.001,0.004,0.007,0.011,,,,,,0.016,9,,S,3.6,,
28210030,2025/09/01,09,0.001,0.004,0.006,0.010,,,,,,0.026,11,,S,3.9,,
28210030,2025/09/01,10,0.001,0.002,0.004,0.006,,,,,,0.013,11,,S,2.7,,
28210030,2025/09/01,11,0.002,0.003,0.006,0.009,,,,,,0.009,13,,S,2.9,,
28210030,2025/09/01,12,0.002,0.001,0.004,0.005,,,,,,0.019,14,,S,2.9,,
28210030,2025/09/01,13,0.001,0.002,0.006,0.008,,,,,,0.013,9,,S,3.8,,
28210030,2025/09/01,14,0.001,0.002,0.005,0.007,,,,,,0.004,9,,S,3.8,,
28210030,2025/09/01,15,0.001,0.002,0.005,0.007,,,,,,0.016,6,,S,3.1,,
28210030,2025/09/01,16,0.003,0.003,0.008,0.011,,,,,,0.021,9,,SSW,3.4,,
28210030,2025/09/01,17,0.002,0.002,0.006,0.008,,,,,,0.007,6,,S,3.6,,
28210030,2025/09/01,18,0.001,0.003,0.009,0.012,,,,,,0.008,4,,S,2.9,,
28210030,2025/09/01,19,0.002,0.002,0.009,0.011,,,,,,0.006,5,,S,2.8,,
28210030,2025/09/01,20,0,0.001,0.006,0.007,,,,,,0.007,2,,SSE,3.2,,
28210030,2025/09/01,21,0,0.002,0.006,0.008,,,,,,0.009,3,,S,1.0,,
28210030,2025/09/01,22,0,0.001,0.004,0.005,,,,,,0.005,4,,ENE,1.8,,
28210030,2025/09/01,23,0,0.001,0.005,0.006,,,,,,0.008,3,,SSE,1.4,,
28210030,2025/09/01,24,0,0.001,0.005,0.006,,,,,,0.007,3,,SSE,1.5,,
28210030,2025/09/02,01,0,0.001,0.004,0.005,,,,,,0.004,2,,SSE,2.7,,
28210030,2025/09/02,02,0,0.001,0.006,0.007,,,,,,0.008,3,,SE,2.2,,
28210030,2025/09/02,03,0,0.001,0.005,0.006,,,,,,0.008,1,,SE,1.8,,
28210030,2025/09/02,04,0,0.001,0.005,0.006,,,,,,0.003,3,,S,3.2,,
28210030,2025/09/02,05,0,0.001,0.005,0.006,,,,,,0.005,4,,ESE,1.7,,
28210030,2025/09/02,06,0.001,0.002,0.008,0.010,,,,,,0.004,3,,SSW,3.1,,
28210030,2025/09/02,07,0.001,0.003,0.005,0.008,,,,,,0.010,1,,S,2.4,,
28210030,2025/09/02,08,0.002,0.006,0.007,0.013,,,,,,0.008,7,,S,2.8,,
28210030,2025/09/02,09,0.001,0.006,0.006,0.012,,,,,,0.020,4,,S,2.6,,
28210030,2025/09/02,10,0.002,0.006,0.006,0.012,,,,,,0.009,7,,S,2.7,,
28210030,2025/09/02,11,0.003,0.003,0.006,0.009,,,,,,0.008,8,,S,3.2,,
28210030,2025/09/02,12,0.005,0.002,0.005,0.007,,,,,,0.016,8,,SSW,2.9,,
28210030,2025/09/02,13,0.003,0.001,0.003,0.004,,,,,,0.013,10,,S,3.2,,
28210030,2025/09/02,14,0.002,0.001,0.004,0.005,,,,,,0.015,8,,S,4.1,,
28210030,2025/09/02,15,0.001,0.005,0.006,0.011,,,,,,0.007,7,,S,4.6,,
28210030,2025/09/02,16,0.002,0.011,0.015,0.026,,,,,,0.006,7,,S,3.3,,
28210030,2025/09/02,17,0.002,0.003,0.011,0.014,,,,,,0.016,6,,S,3.0,,
28210030,2025/09/02,18,0.002,0.002,0.012,0.014,,,,,,0.011,4,,S,2.6,,
28210030,2025/09/02,19,0.002,0.001,0.007,0.008,,,,,,0.008,6,,SSW,3.0,,
28210030,2025/09/02,20,0.001,0.001,0.005,0.006,,,,,,0.012,5,,SSE,2.5,,
28210030,2025/09/02,21,0,0.001,0.008,0.009,,,,,,0.008,5,,ESE,1.9,,
28210030,2025/09/02,22,0.001,0.001,0.009,0.010,,,,,,0.003,2,,NNE,2.1,,
28210030,2025/09/02,23,0,0,0.004,0.004,,,,,,0.009,6,,NE,1.7,,
28210030,2025/09/02,24,0,0.001,0.005,0.006,,,,,,0.008,2,,N,2.3,,
28210030,2025/09/03,01,0,0.001,0.007,0.008,,,,,,0.008,3,,NNE,2.0,,
28210030,2025/09/03,02,0,0.001,0.006,0.007,,,,,,0.008,1,,NNE,2.1,,
28210030,2025/09/03,03,0,0.001,0.006,0.007,,,,,,0.006,4,,NNE,2.3,,
