測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
23207010,2025/09/01,01,-,-,-,-,,-,,,,0.024,15,,ENE,1.3,,
23207010,2025/09/01,02,0.001,0,0.003,0.003,,0.029,,,,0.026,17,,ENE,1.5,,
23207010,2025/09/01,03,0.001,0,0.003,0.003,,0.025,,,,0.023,15,,ENE,1.5,,
23207010,2025/09/01,04,0.001,0,0.002,0.002,,0.023,,,,0.027,15,,ENE,2.4,,
23207010,2025/09/01,05,0.001,0,0.003,0.003,,0.019,,,,0.025,17,,ENE,2.1,,
23207010,2025/09/01,06,0.001,0,0.003,0.003,,0.019,,,,0.023,16,,ENE,1.7,,
23207010,2025/09/01,07,0.001,0.001,0.003,0.004,,0.020,,,,0.023,15,,ENE,2.9,,
23207010,2025/09/01,08,0.001,0.001,0.003,0.004,,0.027,,,,0.031,17,,ENE,2.0,,
23207010,2025/09/01,09,0.001,0.003,0.004,0.007,,0.026,,,,0.014,16,,ESE,2.0,,
23207010,2025/09/01,10,0.001,0.001,0.002,0.003,,0.027,,,,0.005,16,,ENE,1.5,,
23207010,2025/09/01,11,0.001,0.001,0.001,0.002,,0.028,,,,0.006,21,,SSW,3.3,,
23207010,2025/09/01,12,0.001,0.001,0.001,0.002,,0.029,,,,0.004,8,,SSW,3.4,,
23207010,2025/09/01,13,0.001,0.001,0.001,0.002,,0.031,,,,0.007,2,,SSW,3.0,,
23207010,2025/09/01,14,0.001,0.001,0.001,0.002,,0.032,,,,0.005,13,,S,3.4,,
23207010,2025/09/01,15,0.001,0.001,0.001,0.002,,0.031,,,,0.005,-2,,SW,4.7,,
23207010,2025/09/01,16,0.001,0.001,0.001,0.002,,0.026,,,,0.004,-13,,SSW,3.6,,
23207010,2025/09/01,17,0.001,0.001,0.001,0.002,,0.022,,,,0.006,-4,,SSW,4.7,,
23207010,2025/09/01,18,0.001,0.001,0.001,0.002,,0.021,,,,0.006,-3,,SSW,3.7,,
23207010,2025/09/01,19,0,0,0.001,0.001,,0.016,,,,0.008,1,,S,3.3,,
23207010,2025/09/01,20,0.001,0,0.001,0.001,,0.015,,,,0.008,3,,S,2.3,,
23207010,2025/09/01,21,0.001,0,0.001,0.001,,0.014,,,,0.015,0,,SE,1.6,,
23207010,2025/09/01,22,0.001,0,0.002,0.002,,0.012,,,,0.008,1,,ESE,1.2,,
23207010,2025/09/01,23,0.001,0,0.002,0.002,,0.010,,,,0.005,1,,ESE,1.3,,
23207010,2025/09/01,24,0.001,0.001,0.003,0.004,,0.009,,,,0.002,1,,NE,1.2,,
23207010,2025/09/02,01,0.001,0.001,0.003,0.004,,0.010,,,,0.013,1,,E,1.7,,
23207010,2025/09/02,02,0,0.001,0.004,0.005,,0.008,,,,0.004,1,,NE,1.1,,
23207010,2025/09/02,03,0.001,0.001,0.005,0.006,,0.005,,,,0.001,2,,ENE,1.3,,
23207010,2025/09/02,04,0.001,0.001,0.005,0.006,,0.004,,,,0.007,3,,ENE,2.0,,
