測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
39381030,2025/09/01,01,0.001,0,0.001,0.001,,0.004,,,,,5,,WNW,0.6,,
39381030,2025/09/01,02,0,0,0.001,0.001,,0.003,,,,0.010,5,,CALM,0.2,,
39381030,2025/09/01,03,0,0,0.001,0.001,,0.003,,,,0.009,8,,WNW,0.4,,
39381030,2025/09/01,04,0,0,0.001,0.001,,0.002,,,,0.005,2,,CALM,0.2,,
39381030,2025/09/01,05,0,0.001,0.001,0.002,,0.002,,,,0.014,3,,NW,0.8,,
39381030,2025/09/01,06,0,0.001,0.001,0.002,,0.002,,,,0.012,2,,W,0.7,,
39381030,2025/09/01,07,0,0.002,0.001,0.003,,0.002,,,,0.008,0,,WNW,0.5,,
39381030,2025/09/01,08,0.001,0.006,0.002,0.008,,0.004,,,,0.004,2,,WSW,0.6,,
39381030,2025/09/01,09,0,0.002,0.002,0.004,,0.011,,,,,4,,E,0.3,,
39381030,2025/09/01,10,0,0.001,0.001,0.002,,0.016,,,,0.009,6,,SW,0.5,,
39381030,2025/09/01,11,0,0.001,0.002,0.003,,0.020,,,,0.012,6,,ESE,0.4,,
39381030,2025/09/01,12,0,0.001,0.002,0.003,,0.023,,,,0.008,3,,SE,0.6,,
39381030,2025/09/01,13,0,0.001,0.001,0.002,,0.023,,,,0.013,2,,ESE,1.7,,
39381030,2025/09/01,14,0,0.001,0.001,0.002,,0.020,,,,0.005,3,,ESE,1.1,,
39381030,2025/09/01,15,0,0.001,0.001,0.002,,0.017,,,,0.002,3,,ESE,1.4,,
39381030,2025/09/01,16,0,0.001,0.001,0.002,,0.016,,,,0.002,3,,SSE,1.2,,
39381030,2025/09/01,17,0,0.001,0,0.001,,0.016,,,,0.006,-1,,SE,1.4,,
39381030,2025/09/01,18,0,0.001,0.001,0.002,,0.019,,,,0.015,2,,E,0.4,,
39381030,2025/09/01,19,0,0.002,0.001,0.003,,0.019,,,,0.023,0,,ESE,0.8,,
39381030,2025/09/01,20,0,0,0.001,0.001,,0.018,,,,0.019,2,,E,0.5,,
39381030,2025/09/01,21,0,0.001,0.003,0.004,,0.015,,,,0.007,3,,S,0.8,,
39381030,2025/09/01,22,0,0,0.002,0.002,,0.011,,,,0.013,0,,NW,0.3,,
39381030,2025/09/01,23,0.001,0,0.002,0.002,,0.007,,,,0.004,4,,CALM,0.2,,
39381030,2025/09/01,24,0,0,0.001,0.001,,0.006,,,,,2,,NW,0.5,,
39381030,2025/09/02,01,0,0,0.001,0.001,,0.004,,,,0.007,3,,NW,0.7,,
39381030,2025/09/02,02,0,0,0.002,0.002,,0.004,,,,0.012,7,,NW,0.6,,
39381030,2025/09/02,03,0,0,0.001,0.001,,0.003,,,,0.004,4,,NW,0.7,,
39381030,2025/09/02,04,0,0,0.001,0.001,,0.003,,,,0.009,-1,,W,0.4,,
39381030,2025/09/02,05,0,0,0.001,0.001,,0.003,,,,0.002,5,,NW,0.7,,
39381030,2025/09/02,06,0,0.001,0.001,0.002,,0.002,,,,0.001,3,,WNW,0.5,,
39381030,2025/09/02,07,0,0.002,0.001,0.003,,0.003,,,,0.003,2,,WNW,0.8,,
39381030,2025/09/02,08,0,0.004,0.001,0.005,,0.003,,,,0.014,7,,WSW,0.8,,
39381030,2025/09/02,09,0,0.004,0.002,0.006,,0.008,,,,0.005,4,,SSE,0.5,,
39381030,2025/09/02,10,0,0.009,,0.008,,0.016,,,,,3,,SSE,0.7,,
39381030,2025/09/02,11,0,0.001,0.001,0.002,,0.021,,,,,-1,,SSE,1.2,,
39381030,2025/09/02,12,0,0.001,0.001,0.002,,0.024,,,,0.009,3,,SSE,2.1,,
39381030,2025/09/02,13,0,0.001,0.002,0.003,,0.029,,,,0.011,-1,,SE,0.6,,
