測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07201200,2025/09/01,01,0,0,0.003,0.003,,0.016,0.11,2.01,2.12,0.017,-5,,NNE,1.9,25.9,97.0
07201200,2025/09/01,02,0,0,0.002,0.002,,0.017,0.11,2.01,2.12,0.015,4,,NNE,0.8,25.8,97.9
07201200,2025/09/01,03,0,0,0.002,0.002,,0.014,0.11,2.01,2.12,0.014,4,,N,1.7,25.3,98.2
07201200,2025/09/01,04,0,0,0.002,0.002,,0.012,0.11,2.01,2.12,0.011,1,,N,1.4,25.2,98.5
07201200,2025/09/01,05,0,0,0.003,0.003,,0.007,0.11,2.02,2.13,0.019,5,,NNE,1.4,25.2,98.9
07201200,2025/09/01,06,0,0,0.004,0.004,,0.007,0.12,2.03,2.15,0.021,7,,CALM,0.2,25.9,96.4
07201200,2025/09/01,07,0,0.001,0.005,0.006,,0.007,0.13,2.03,2.16,0.022,8,,WSW,0.6,26.1,92.1
07201200,2025/09/01,08,0,0.003,0.005,0.008,,0.012,0.14,2.04,2.18,0.015,7,,SW,0.8,27.4,85.1
07201200,2025/09/01,09,0,0.001,0.004,0.005,,0.023,0.14,2.02,2.16,0.028,17,,NNE,0.9,30.6,75.6
07201200,2025/09/01,10,0,0.001,0.003,0.004,,0.035,0.14,2.00,2.14,0.015,18,,SSE,2.3,32.8,65.2
07201200,2025/09/01,11,0,0.001,0.002,0.003,,0.043,0.14,1.98,2.12,0.040,33,,S,1.7,33.9,61.0
07201200,2025/09/01,12,0,0.001,0.002,0.003,,0.047,0.15,1.98,2.13,0.012,30,,S,1.8,35.6,54.7
07201200,2025/09/01,13,0.001,0.001,0.003,0.004,,0.052,-,-,-,0.032,-,,SSE,1.0,36.8,53.7
07201200,2025/09/01,14,0.001,0.001,0.003,0.004,,0.052,0.16,1.96,2.12,0.020,49,,SSW,2.0,37.1,50.3
07201200,2025/09/01,15,0.001,0,0.002,0.002,,0.046,0.16,1.96,2.12,0.016,44,,N,4.4,38.3,43.6
07201200,2025/09/01,16,0.001,0.004,0,0.004,,0.039,0.14,1.95,2.09,0.017,34,,N,3.1,37.2,45.9
07201200,2025/09/01,17,0,0.001,0.002,0.003,,0.038,0.16,1.95,2.11,0.016,18,,N,2.5,35.2,54.5
07201200,2025/09/01,18,0,0,0.001,0.001,,0.040,0.15,1.94,2.09,0.022,11,,N,2.1,33.4,63.3
07201200,2025/09/01,19,0,0,0.002,0.002,,0.038,0.15,1.95,2.10,0.029,5,,N,1.9,32.3,68.1
07201200,2025/09/01,20,0,0.001,0.004,0.005,,0.030,0.18,1.95,2.13,0.021,12,,N,1.5,30.9,75.0
