測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12217020,2025/09/01,01,0.001,0,0.007,0.007,,0.018,,,,0.026,16,,CALM,0.1,27.6,85.0
12217020,2025/09/01,02,0.001,0,0.007,0.007,,0.016,,,,0.026,17,,SSE,1.1,27.9,87.0
12217020,2025/09/01,03,0.001,0,0.006,0.006,,0.019,,,,0.027,15,,SSE,1.3,27.8,86.0
12217020,2025/09/01,04,0.001,0,0.007,0.007,,0.018,,,,0.024,13,,SSE,0.6,27.6,87.0
12217020,2025/09/01,05,0.002,0,0.006,0.006,,0.020,,,,0.025,13,,SSE,1.1,27.5,88.0
12217020,2025/09/01,06,0.001,0,0.006,0.006,,0.022,,,,0.023,13,,S,1.1,27.9,88.0
12217020,2025/09/01,07,0.001,0,0.007,0.007,,0.029,,,,0.022,12,,SSW,2.0,28.5,82.0
12217020,2025/09/01,08,0.001,0.001,0.007,0.008,,0.043,,,,0.023,14,,S,1.9,30.4,74.0
12217020,2025/09/01,09,0.002,0.001,0.009,0.010,,0.049,,,,0.026,15,,S,1.9,31.2,70.0
12217020,2025/09/01,10,0.002,0.001,0.008,0.009,,0.058,,,,0.030,20,,S,2.0,32.7,65.0
12217020,2025/09/01,11,0.001,0,0.008,0.008,,0.068,,,,0.031,21,,S,2.0,33.6,62.0
12217020,2025/09/01,12,0.001,0,0.007,0.007,,0.074,,,,0.029,19,,SSE,3.3,35.0,55.0
12217020,2025/09/01,13,0.001,0,0.006,0.006,,0.075,,,,0.026,18,,S,3.8,35.4,49.0
12217020,2025/09/01,14,0.001,0,0.005,0.005,,0.065,,,,0.021,14,,S,3.5,35.3,49.0
12217020,2025/09/01,15,0.002,0,0.004,0.004,,0.051,,,,0.018,11,,S,4.5,34.9,50.0
12217020,2025/09/01,16,0.001,0,0.003,0.003,,0.039,,,,0.015,7,,S,4.6,34.0,52.0
12217020,2025/09/01,17,0.001,0,0.003,0.003,,0.032,,,,0.012,8,,S,4.4,32.1,61.0
12217020,2025/09/01,18,0.001,0,0.003,0.003,,0.024,,,,0.013,6,,S,4.0,30.5,68.0
12217020,2025/09/01,19,0.001,0,0.006,0.006,,0.017,,,,0.011,5,,S,4.5,29.6,74.0
12217020,2025/09/01,20,0.002,0,0.008,0.008,,0.010,,,,0.014,6,,S,3.6,29.3,76.0
12217020,2025/09/01,21,0.002,0,0.005,0.005,,0.011,,,,0.011,5,,S,3.6,28.9,82.0
12217020,2025/09/01,22,0.001,0,0.005,0.005,,0.010,,,,0.011,3,,S,3.4,28.7,83.0
12217020,2025/09/01,23,0.001,0,0.006,0.006,,0.008,,,,0.009,4,,S,4.1,28.7,81.0
12217020,2025/09/01,24,0.001,0,0.005,0.005,,0.009,,,,0.010,3,,S,3.6,28.6,80.0
12217020,2025/09/02,01,0.001,0,0.006,0.006,,0.009,,,,0.008,2,,S,3.1,28.3,80.0
12217020,2025/09/02,02,0.002,0,0.008,0.008,,0.006,,,,0.007,2,,S,2.6,28.3,79.0
12217020,2025/09/02,03,0.001,0,0.008,0.008,,0.007,,,,0.008,4,,SSW,2.2,28.2,79.0
12217020,2025/09/02,04,0.001,0,0.008,0.008,,0.006,,,,0.006,3,,SSW,1.7,28.1,77.0
12217020,2025/09/02,05,0.001,0,0.008,0.008,,0.006,,,,0.008,4,,SSW,1.9,28.4,75.0
12217020,2025/09/02,06,0.002,0,0.010,0.010,,0.006,,,,0.008,4,,SSW,2.2,28.8,74.0
12217020,2025/09/02,07,0.001,0.003,0.008,0.011,,0.009,,,,0.008,3,,SSW,2.1,29.9,70.0
12217020,2025/09/02,08,0.001,0.004,0.006,0.010,,0.011,,,,0.008,5,,SSW,2.6,31.1,65.0
12217020,2025/09/02,09,0.001,0.003,0.005,0.008,,0.016,,,,0.006,3,,SSW,2.9,32.1,58.0
12217020,2025/09/02,10,0.002,0.002,0.006,0.008,,0.022,,,,0.009,4,,SSW,3.2,33.1,57.0
12217020,2025/09/02,11,0.001,0.002,0.008,0.010,,0.028,,,,0.010,5,,S,4.0,34.5,52.0
12217020,2025/09/02,12,0.002,0.001,0.006,0.007,,0.032,,,,0.009,9,,S,4.0,34.7,51.0
12217020,2025/09/02,13,0.001,0.001,0.005,0.006,,0.038,,,,0.013,8,,S,4.5,35.2,52.0
12217020,2025/09/02,14,0.001,0.001,0.004,0.005,,0.033,,,,0.012,6,,SSW,4.2,34.7,53.0
12217020,2025/09/02,15,0.001,0.001,0.003,0.004,,0.027,,,,0.014,5,,S,5.2,33.6,55.0
12217020,2025/09/02,16,0.002,0.001,0.004,0.005,,0.025,,,,0.013,8,,S,5.2,32.8,57.0
12217020,2025/09/02,17,0.001,0.001,0.005,0.006,,0.022,,,,0.012,5,,SSW,3.4,32.2,63.0
12217020,2025/09/02,18,0.002,0,0.006,0.006,,0.015,,,,0.014,7,,S,4.3,30.0,72.0
12217020,2025/09/02,19,0.001,0,0.007,0.007,,0.013,,,,0.012,6,,S,2.4,29.8,72.0
12217020,2025/09/02,20,0.001,0,0.007,0.007,,0.010,,,,0.010,4,,S,3.6,29.8,70.0
12217020,2025/09/02,21,0.001,0,0.005,0.005,,0.011,,,,0.009,3,,S,2.5,29.8,69.0
12217020,2025/09/02,22,0.001,0,0.007,0.007,,0.008,,,,0.011,5,,SSW,1.4,29.5,72.0
12217020,2025/09/02,23,0.001,0,0.009,0.009,,0.006,,,,0.011,5,,NW,1.1,29.7,71.0
12217020,2025/09/02,24,0.001,0,0.005,0.005,,0.026,,,,0.015,5,,NNW,1.1,27.9,68.0
12217020,2025/09/03,01,0.001,0,0.004,0.004,,0.034,,,,0.020,7,,NNW,1.1,27.5,70.0
12217020,2025/09/03,02,0.001,0,0.004,0.004,,0.033,,,,0.017,6,,WSW,1.2,26.5,68.0
12217020,2025/09/03,03,0.001,0,0.005,0.005,,0.031,,,,0.009,3,,SW,0.9,26.6,70.0
12217020,2025/09/03,04,0.001,0,0.007,0.007,,0.029,,,,0.006,4,,CALM,0.2,26.7,71.0
12217020,2025/09/03,05,0.001,0,0.010,0.010,,0.022,,,,0.009,6,,NNE,0.4,26.2,75.0
12217020,2025/09/03,06,0.001,0.001,0.013,0.014,,0.016,,,,0.009,8,,CALM,0.2,26.9,74.0
12217020,2025/09/03,07,0.001,0.002,0.014,0.016,,0.020,,,,0.010,8,,N,1.0,28.7,68.0
12217020,2025/09/03,08,0.002,0.002,0.011,0.013,,0.027,,,,0.014,11,,NE,1.5,30.1,65.0
12217020,2025/09/03,09,0.001,0.002,0.009,0.011,,0.034,,,,0.012,10,,ESE,0.8,30.9,63.0
12217020,2025/09/03,10,0.001,0.001,0.008,0.009,,0.047,,,,0.015,10,,NNE,1.8,32.3,59.0
12217020,2025/09/03,11,0.001,0,0.006,0.006,,0.062,,,,0.015,10,,ENE,1.1,34.1,56.0
12217020,2025/09/03,12,0.001,0,0.005,0.005,,0.070,,,,0.018,13,,NNE,1.6,34.4,54.0
12217020,2025/09/03,13,0.001,0,0.006,0.006,,0.072,,,,0.020,10,,SSE,1.5,35.8,50.0
12217020,2025/09/03,14,0.001,0,0.006,0.006,,0.071,,,,0.018,11,,S,2.5,34.5,53.0
12217020,2025/09/03,15,0.001,0,0.006,0.006,,0.053,,,,0.015,9,,SSW,3.2,32.3,62.0
12217020,2025/09/03,16,0.001,0,0.006,0.006,,0.035,,,,0.015,10,,S,3.0,31.8,69.0
12217020,2025/09/03,17,0.001,0.001,0.010,0.011,,0.025,,,,0.014,8,,S,2.7,31.0,75.0
12217020,2025/09/03,18,0.001,0,0.010,0.010,,0.018,,,,0.015,8,,SSE,1.6,30.0,78.0
12217020,2025/09/03,19,0.001,0,0.010,0.010,,0.011,,,,0.015,5,,E,0.7,29.4,82.0
12217020,2025/09/03,20,0.001,0,0.009,0.009,,0.010,,,,0.013,5,,ESE,0.4,29.2,83.0
12217020,2025/09/03,21,0.001,0,0.012,0.012,,0.006,,,,0.018,7,,ENE,1.5,28.9,83.0
