測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
44214010,2025/09/01,01,0.001,0.002,0.003,0.005,,0.005,,,,0.013,6,,,,,
44214010,2025/09/01,02,0.001,0.002,0.003,0.005,,0.002,,,,,7,,,,,
44214010,2025/09/01,03,0.002,0.003,0.003,0.006,,0.001,,,,0.026,2,,,,,
44214010,2025/09/01,04,0.001,0.003,0.003,0.006,,0.001,,,,,-1,,,,,
44214010,2025/09/01,05,0.001,0.003,0.003,0.006,,0.001,,,,,13,,,,,
44214010,2025/09/01,06,0.002,0.004,0.003,0.007,,0.001,,,,0.001,-6,,,,,
44214010,2025/09/01,07,0.002,0.006,0.003,0.009,,0.002,,,,0.009,3,,,,,
44214010,2025/09/01,08,0.002,0.009,0.002,0.011,,0.003,,,,0.059,7,,,,,
44214010,2025/09/01,09,0.002,0.005,0.002,0.007,,0.006,,,,0.019,9,,,,,
44214010,2025/09/01,10,0.002,0.007,0.002,0.009,,0.006,,,,0.042,8,,,,,
44214010,2025/09/01,11,0.002,0.007,0.002,0.009,,0.009,,,,,4,,,,,
44214010,2025/09/01,12,0.001,0.004,0.002,0.006,,0.014,,,,0.005,9,,,,,
44214010,2025/09/01,13,0.001,0.005,0.003,0.008,,0.014,,,,0.023,7,,,,,
44214010,2025/09/01,14,0.001,0.002,0.001,0.003,,0.018,,,,,10,,,,,
44214010,2025/09/01,15,0.001,0.003,0.001,0.004,,0.016,,,,,4,,,,,
44214010,2025/09/01,16,0.001,0.002,0.001,0.003,,0.017,,,,,4,,,,,
44214010,2025/09/01,17,0.001,0.002,0.002,0.004,,0.016,,,,0.010,3,,,,,
44214010,2025/09/01,18,0.001,0.002,0.002,0.004,,0.017,,,,,-3,,,,,
44214010,2025/09/01,19,0.001,0.002,0.002,0.004,,0.014,,,,0.001,0,,,,,
44214010,2025/09/01,20,0.002,0.002,0.002,0.004,,0.011,,,,,2,,,,,
