測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13117520,2025/09/01,01,,0.005,0.015,0.020,,,,,,0.018,13,,WSW,0.9,30.4,76.2
13117520,2025/09/01,02,,0.003,0.011,0.014,,,,,,0.015,13,,SW,0.8,30.1,74.5
13117520,2025/09/01,03,,0.001,0.007,0.008,,,,,,0.016,12,,SSW,0.7,29.9,73.9
13117520,2025/09/01,04,,0.001,0.006,0.007,,,,,,0.018,13,,SW,0.7,29.7,74.0
13117520,2025/09/01,05,,0.001,0.007,0.008,,,,,,0.014,12,,SW,0.4,29.6,73.4
13117520,2025/09/01,06,,0.003,0.010,0.013,,,,,,0.022,15,,SSW,0.9,29.6,73.9
13117520,2025/09/01,07,,0.006,0.016,0.022,,,,,,0.020,14,,SSW,1.0,29.8,73.0
13117520,2025/09/01,08,,0.007,0.017,0.024,,,,,,0.019,15,,N,0.7,30.2,70.7
13117520,2025/09/01,09,,0.007,0.018,0.025,,,,,,0.020,16,,SSE,0.5,31.7,67.8
13117520,2025/09/01,10,,0.011,0.020,0.031,,,,,,0.023,19,,S,1.0,32.2,61.7
13117520,2025/09/01,11,,0.004,0.015,0.019,,,,,,0.025,23,,WSW,0.9,34.0,57.0
13117520,2025/09/01,12,,0.005,0.017,0.022,,,,,,0.010,20,,SSW,1.2,35.6,47.7
13117520,2025/09/01,13,,0.007,0.016,0.023,,,,,,0.023,25,,WSW,1.0,38.2,44.4
13117520,2025/09/01,14,,0.006,0.017,0.023,,,,,,0.024,23,,SSW,1.3,38.0,48.5
13117520,2025/09/01,15,,0.012,0.026,0.038,,,,,,0.014,12,,WSW,1.1,35.8,51.4
13117520,2025/09/01,16,,0.005,0.013,0.018,,,,,,0.006,6,,SW,1.6,34.7,50.9
13117520,2025/09/01,17,,0.008,0.018,0.026,,,,,,0.040,8,,SW,1.2,33.8,57.7
13117520,2025/09/01,18,,0.009,0.018,0.027,,,,,,0.017,5,,SW,1.1,32.4,61.9
13117520,2025/09/01,19,,0.009,0.019,0.028,,,,,,0.021,5,,WSW,1.0,31.8,68.5
13117520,2025/09/01,20,,0.004,0.010,0.014,,,,,,0.005,8,,SW,1.1,31.1,69.0
13117520,2025/09/01,21,,0.004,0.009,0.013,,,,,,0.005,5,,SW,1.0,31.1,68.3
13117520,2025/09/01,22,,0.003,0.006,0.009,,,,,,0.001,6,,SSW,1.3,31.1,65.2
13117520,2025/09/01,23,,0.003,0.006,0.009,,,,,,0.007,5,,SSW,1.5,30.7,65.6
13117520,2025/09/01,24,,0.002,0.004,0.006,,,,,,0.006,5,,SSW,1.1,30.5,67.2
13117520,2025/09/02,01,,0.002,0.004,0.006,,,,,,0.001,5,,SSW,1.1,30.5,66.3
13117520,2025/09/02,02,,0.001,0.003,0.004,,,,,,0.005,5,,SSW,1.4,30.2,67.5
13117520,2025/09/02,03,,0.001,0.004,0.005,,,,,,0.008,4,,ESE,0.6,30.0,69.5
13117520,2025/09/02,04,,0.002,0.005,0.007,,,,,,0.005,3,,S,0.3,29.9,69.7
13117520,2025/09/02,05,,0.004,0.007,0.011,,,,,,0.002,4,,SSW,0.5,29.8,68.6
13117520,2025/09/02,06,,0.007,0.009,0.016,,,,,,0.002,5,,E,0.4,30.2,65.5
13117520,2025/09/02,07,,0.012,0.010,0.022,,,,,,0.007,5,,SSW,0.6,30.3,66.2
13117520,2025/09/02,08,,0.009,0.009,0.018,,,,,,0.007,5,,SSE,0.8,31.5,64.3
13117520,2025/09/02,09,,0.011,0.011,0.022,,,,,,0.004,7,,NNW,0.8,31.9,60.0
13117520,2025/09/02,10,,0.007,0.011,0.018,,,,,,0.004,8,,SSW,1.4,33.2,56.7
13117520,2025/09/02,11,,0.009,0.014,0.023,,,,,,0.003,8,,S,1.3,34.5,50.0
13117520,2025/09/02,12,,0.006,0.011,0.017,,,,,,0.002,6,,SSW,1.3,37.6,44.9
13117520,2025/09/02,13,,-,-,-,,,,,,-,10,,S,1.4,37.4,43.3
13117520,2025/09/02,14,,-,-,-,,,,,,0.011,8,,S,0.8,37.4,41.9
13117520,2025/09/02,15,,0.010,0.012,0.022,,,,,,0.008,6,,SSW,2.0,36.4,45.4
13117520,2025/09/02,16,,0.007,0.008,0.015,,,,,,0.012,3,,SSW,1.0,35.3,50.2
13117520,2025/09/02,17,,0.008,0.009,0.017,,,,,,0.009,6,,SW,1.6,34.3,53.1
13117520,2025/09/02,18,,0.003,0.008,0.011,,,,,,0.012,4,,SW,1.1,33.2,56.0
13117520,2025/09/02,19,,0.004,0.007,0.011,,,,,,0.009,5,,SW,1.4,32.6,57.3
13117520,2025/09/02,20,,0.006,0.009,0.015,,,,,,0.007,5,,SW,0.8,32.3,58.4
