測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
23621071,2025/09/01,01,,-,-,-,,-,0.09,1.99,2.08,0.030,18,,,,,
23621071,2025/09/01,02,,0,0.002,0.002,,0.046,-,-,-,0.031,16,,,,,
23621071,2025/09/01,03,,0,0.003,0.003,,0.040,0.10,1.99,2.09,0.031,17,,,,,
23621071,2025/09/01,04,,0,0.004,0.004,,0.033,0.10,2.03,2.13,0.031,18,,,,,
23621071,2025/09/01,05,,0,0.005,0.005,,0.022,0.11,2.10,2.21,0.030,19,,,,,
23621071,2025/09/01,06,,0,0.006,0.006,,0.017,0.11,2.08,2.19,0.034,19,,,,,
23621071,2025/09/01,07,,0.001,0.007,0.008,,0.018,0.11,2.07,2.18,0.035,15,,,,,
23621071,2025/09/01,08,,0.002,0.004,0.006,,0.019,0.11,1.97,2.08,0.015,8,,,,,
23621071,2025/09/01,09,,0.001,0.002,0.003,,0.016,0.09,1.89,1.98,0.003,4,,,,,
23621071,2025/09/01,10,,0.001,0.001,0.002,,0.019,0.08,1.87,1.95,0.007,6,,,,,
23621071,2025/09/01,11,,0,0.001,0.001,,0.023,0.07,1.88,1.95,0.014,9,,,,,
23621071,2025/09/01,12,,0.001,0.001,0.002,,0.025,0.07,1.88,1.95,0.004,8,,,,,
23621071,2025/09/01,13,,0,0.001,0.001,,0.024,0.08,1.87,1.95,0.006,4,,,,,
23621071,2025/09/01,14,,0,0.001,0.001,,0.030,0.08,1.87,1.95,0.005,6,,,,,
23621071,2025/09/01,15,,0,0.001,0.001,,0.022,0.07,1.87,1.94,0.007,7,,,,,
23621071,2025/09/01,16,,0,0.001,0.001,,0.021,0.07,1.87,1.94,0.004,4,,,,,
23621071,2025/09/01,17,,0,0.001,0.001,,0.021,0.07,1.87,1.94,0.011,2,,,,,
23621071,2025/09/01,18,,0,0.001,0.001,,0.017,0.06,1.87,1.93,0.008,1,,,,,
23621071,2025/09/01,19,,0,0.002,0.002,,0.014,0.07,1.88,1.95,0.005,1,,,,,
23621071,2025/09/01,20,,0,0.003,0.003,,0.012,0.07,1.88,1.95,0.009,4,,,,,
23621071,2025/09/01,21,,0.001,0.003,0.004,,0.008,0.08,1.88,1.96,0.011,5,,,,,
23621071,2025/09/01,22,,0.001,0.004,0.005,,0.007,0.08,1.89,1.97,0.010,4,,,,,
23621071,2025/09/01,23,,0,0.003,0.003,,0.009,0.08,1.88,1.96,0.007,3,,,,,
23621071,2025/09/01,24,,0,0.004,0.004,,0.008,0.08,1.88,1.96,0.003,4,,,,,
23621071,2025/09/02,01,,0,0.002,0.002,,0.010,0.07,1.88,1.95,0.004,4,,,,,
23621071,2025/09/02,02,,0,0.003,0.003,,0.007,0.08,1.89,1.97,0.009,3,,,,,
23621071,2025/09/02,03,,0,0.004,0.004,,0.007,0.08,1.89,1.97,0.009,4,,,,,
23621071,2025/09/02,04,,0.001,0.005,0.006,,0.004,0.08,1.89,1.97,0.007,4,,,,,
23621071,2025/09/02,05,,0.001,0.005,0.006,,0.005,0.08,1.90,1.98,0.004,5,,,,,
23621071,2025/09/02,06,,0.001,0.004,0.005,,0.004,0.08,1.89,1.97,0.010,3,,,,,
23621071,2025/09/02,07,,0.002,0.004,0.006,,0.006,0.08,1.89,1.97,0.007,2,,,,,
23621071,2025/09/02,08,,0.002,0.002,0.004,,0.010,0.08,1.90,1.98,0,3,,,,,
23621071,2025/09/02,09,,0.003,0.004,0.007,,0.011,0.07,1.89,1.96,0.012,10,,,,,
23621071,2025/09/02,10,,0.004,0.007,0.011,,0.015,0.09,1.89,1.98,0.011,7,,,,,
23621071,2025/09/02,11,,0.003,0.008,0.011,,0.027,0.09,1.89,1.98,0.014,11,,,,,
23621071,2025/09/02,12,,0.001,0.006,0.007,,0.035,0.09,1.90,1.99,0.020,9,,,,,
23621071,2025/09/02,13,,0,0.002,0.002,,0.036,0.09,1.89,1.98,0.009,11,,,,,
23621071,2025/09/02,14,,0.001,0.002,0.003,,0.029,0.08,1.89,1.97,0.007,8,,,,,
23621071,2025/09/02,15,,0.001,0.002,0.003,,0.022,0.07,1.89,1.96,0.007,5,,,,,
