測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
32207060,2025/09/01,01,0.001,0,0.001,0.001,,0.029,,,,0.016,6,,SSE,0.9,27.4,88.0
32207060,2025/09/01,02,0,0,0.001,0.001,,0.020,,,,0.012,7,,S,0.9,26.9,87.0
32207060,2025/09/01,03,0,0,0.001,0.001,,0.009,,,,0.008,7,,S,1.3,26.5,81.0
32207060,2025/09/01,04,0,0,0.001,0.001,,0.007,,,,0.008,2,,SSW,2.4,28.5,75.0
32207060,2025/09/01,05,0.001,0,0.001,0.001,,0.011,,,,0.008,0,,S,1.8,27.9,77.0
32207060,2025/09/01,06,0.001,0,0.001,0.001,,0.011,,,,0.010,4,,SSW,1.9,28.2,76.0
32207060,2025/09/01,07,0.003,0,0.001,0.001,,0.010,,,,0.009,8,,SSW,1.7,28.9,75.0
32207060,2025/09/01,08,0.003,0.001,0.001,0.001,,0.009,,,,0.011,6,,SSW,1.3,30.4,68.0
32207060,2025/09/01,09,0.003,0.001,0.001,0.002,,0.010,,,,0.011,7,,SW,1.1,31.6,66.0
32207060,2025/09/01,10,0.003,0.001,0.001,0.002,,0.013,,,,0.018,6,,W,0.8,32.2,64.0
32207060,2025/09/01,11,0.003,0.001,0.002,0.002,,0.018,,,,0.020,12,,W,0.9,32.0,72.0
32207060,2025/09/01,12,0.003,0,0.001,0.002,,0.024,,,,0.024,10,,W,0.9,32.5,74.0
32207060,2025/09/01,13,0.002,0.001,0.001,0.002,,0.026,,,,0.026,13,,SW,1.7,32.4,67.0
32207060,2025/09/01,14,0.002,0,0.001,0.001,,0.028,,,,0.024,13,,SW,1.6,32.8,70.0
32207060,2025/09/01,15,0.002,0.001,0.001,0.002,,0.028,,,,0.022,14,,NW,0.9,32.5,72.0
32207060,2025/09/01,16,0.001,0,0.001,0.002,,0.032,,,,0.027,12,,W,1.0,32.5,76.0
32207060,2025/09/01,17,0.001,0,0.001,0.002,,0.033,,,,0.029,12,,WNW,0.9,31.3,80.0
32207060,2025/09/01,18,0.001,0,0.001,0.001,,0.036,,,,0.022,12,,SW,1.0,31.0,79.0
32207060,2025/09/01,19,0.001,0,0.001,0.001,,0.024,,,,0.024,12,,ESE,1.7,29.0,88.0
32207060,2025/09/01,20,0.001,0,0.001,0.001,,0.017,,,,0.022,12,,NE,0.6,28.6,88.0
32207060,2025/09/01,21,0.001,0,0.002,0.002,,0.013,,,,0.016,9,,S,1.0,29.0,80.0
32207060,2025/09/01,22,0.001,0,0.001,0.001,,0.009,,,,0.014,9,,SE,1.3,28.2,82.0
32207060,2025/09/01,23,0.001,0,0.001,0.001,,0.008,,,,0.008,4,,SSE,1.0,28.8,65.0
32207060,2025/09/01,24,0.001,0,0.001,0.001,,0.009,,,,0.009,3,,SSW,2.4,29.0,69.0
32207060,2025/09/02,01,0.001,0,0.001,0.001,,0.010,,,,0.011,4,,SSW,2.3,28.8,72.0
32207060,2025/09/02,02,0.001,0,0.001,0.001,,0.010,,,,0.009,6,,SSW,2.1,28.5,73.0
32207060,2025/09/02,03,0.001,0,0.001,0.001,,0.011,,,,0.011,7,,S,2.0,29.1,72.0
32207060,2025/09/02,04,0,0,0.001,0.001,,0.010,,,,0.010,9,,SSW,2.2,28.6,73.0
32207060,2025/09/02,05,0,0,0.001,0.001,,0.009,,,,0.013,6,,SW,0.7,27.4,80.0
32207060,2025/09/02,06,0.001,0,0.002,0.002,,0.008,,,,0.010,5,,S,1.2,27.9,77.0
32207060,2025/09/02,07,0.001,0,0.002,0.002,,0.007,,,,0.014,9,,ESE,0.6,27.4,83.0
32207060,2025/09/02,08,0.002,0.001,0.001,0.002,,0.009,,,,0.013,11,,S,1.1,29.8,72.0
32207060,2025/09/02,09,0.002,0.001,0.001,0.002,,0.013,,,,0.025,8,,WSW,1.3,30.7,71.0
32207060,2025/09/02,10,0.002,0.001,0.002,0.003,,0.018,,,,0.024,14,,WSW,1.3,31.4,72.0
32207060,2025/09/02,11,0.002,0.001,0.002,0.002,,0.023,,,,0.026,14,,SW,2.0,30.6,74.0
32207060,2025/09/02,12,0.003,0,0.002,0.002,,0.029,,,,0.020,12,,SW,1.7,30.3,76.0
32207060,2025/09/02,13,0.001,0.001,0.002,0.002,,0.038,,,,0.015,3,,SW,3.7,31.3,67.0
32207060,2025/09/02,14,0.001,0,0.001,0.002,,0.036,,,,0.012,5,,WSW,1.6,31.2,69.0
32207060,2025/09/02,15,0,0,0.001,0.001,,0.037,,,,0.010,1,,WSW,1.5,31.2,67.0
32207060,2025/09/02,16,0.001,0,0.001,0.001,,0.041,,,,0.010,4,,WSW,1.1,30.8,66.0
32207060,2025/09/02,17,0,0,0.001,0.001,,0.041,,,,0.011,1,,SW,2.1,29.6,73.0
32207060,2025/09/02,18,0.001,0,0.001,0.002,,0.040,,,,0.010,4,,S,1.0,29.7,78.0
32207060,2025/09/02,19,0.001,0,0.001,0.001,,0.034,,,,0.008,4,,SSW,1.1,28.9,82.0
32207060,2025/09/02,20,0.001,0,0.002,0.002,,0.027,,,,0.010,5,,CALM,0.4,27.9,87.0
32207060,2025/09/02,21,0.001,0,0.002,0.002,,0.026,,,,0.011,3,,SE,1.4,26.9,89.0
32207060,2025/09/02,22,0,0,0.001,0.001,,0.026,,,,0.007,3,,SSE,1.3,26.8,90.0
32207060,2025/09/02,23,0.001,0,0.001,0.001,,0.024,,,,0.009,2,,S,0.9,25.8,92.0
32207060,2025/09/02,24,0,0,0.001,0.001,,0.021,,,,0.009,3,,SSE,1.1,25.8,92.0
32207060,2025/09/03,01,0,0,0.001,0.001,,0.021,,,,0.007,5,,SSE,1.3,25.8,91.0
32207060,2025/09/03,02,0,0,0.002,0.002,,0.020,,,,0.009,4,,SSE,1.0,26.0,91.0
32207060,2025/09/03,03,0.001,0,0.001,0.001,,0.025,,,,0.005,4,,SE,1.5,26.2,89.0
32207060,2025/09/03,04,0.001,0,0.001,0.001,,0.023,,,,0.009,3,,SSE,1.6,25.2,91.0
32207060,2025/09/03,05,0.001,0,0.002,0.002,,0.019,,,,0.007,3,,SSE,1.1,25.1,92.0
32207060,2025/09/03,06,0.001,0,0.001,0.001,,0.018,,,,0.010,3,,SE,1.1,25.0,94.0
32207060,2025/09/03,07,0.001,0,0.001,0.001,,0.019,,,,0.009,2,,SE,1.9,26.3,89.0
32207060,2025/09/03,08,0,0,0.001,0.001,,0.020,,,,0.009,3,,ESE,1.0,28.7,85.0
32207060,2025/09/03,09,0.001,0,0.001,0.001,,0.027,,,,0.009,4,,ENE,1.0,31.2,75.0
32207060,2025/09/03,10,0,0,0.001,0.001,,0.034,,,,0.011,3,,ESE,1.6,30.1,70.0
32207060,2025/09/03,11,0.002,0.001,0.002,0.002,,0.039,,,,0.011,5,,N,2.8,31.6,74.0
32207060,2025/09/03,12,0.001,0,0.001,0.001,,0.041,,,,0.010,6,,N,3.6,31.5,74.0
32207060,2025/09/03,13,0.008,0,0.001,0.002,,0.045,,,,0.011,6,,NNE,4.5,31.3,71.0
32207060,2025/09/03,14,0.002,0,0.001,0.001,,0.042,,,,0.013,4,,NNE,4.6,30.9,73.0
32207060,2025/09/03,15,0.001,0.001,0.001,0.002,,-,,,,0.011,4,,NNE,4.7,30.5,75.0
32207060,2025/09/03,16,0.001,0.001,0.001,0.002,,0.041,,,,-,-,,NNE,4.3,29.9,79.0
32207060,2025/09/03,17,0,0.001,0.001,0.002,,0.042,,,,0.012,-,,NNE,3.5,29.6,80.0
32207060,2025/09/03,18,0.001,0,0.001,0.001,,0.040,,,,0.012,7,,NE,1.9,29.5,84.0
32207060,2025/09/03,19,0.001,0,0.001,0.001,,0.036,,,,0.012,8,,SW,1.2,28.8,85.0
32207060,2025/09/03,20,0,0,0.001,0.001,,0.029,,,,0.012,5,,SSE,1.1,28.0,89.0
32207060,2025/09/03,21,0,0,0.001,0.001,,0.022,,,,0.012,6,,SE,0.8,27.1,91.0
32207060,2025/09/03,22,0,0,0.001,0.001,,0.019,,,,0.011,4,,SE,1.2,27.0,93.0
32207060,2025/09/03,23,0,0,0.001,0.001,,0.017,,,,0.014,4,,SE,1.8,26.3,92.0
32207060,2025/09/03,24,0.001,0,0.001,0.001,,0.017,,,,0.009,6,,SE,1.1,26.1,93.0
32207060,2025/09/04,01,0.001,0,0.001,0.001,,0.014,,,,0.012,6,,SSE,0.7,26.0,95.0
32207060,2025/09/04,02,0.001,0,0.003,0.003,,0.013,,,,0.015,7,,S,0.7,25.7,95.0
32207060,2025/09/04,03,0.001,0,0.001,0.001,,0.018,,,,0.014,11,,CALM,0.4,25.7,94.0
32207060,2025/09/04,04,0.001,0,0.002,0.002,,0.019,,,,0.014,10,,CALM,0.4,26.4,92.0
32207060,2025/09/04,05,0.001,0,0.002,0.002,,0.026,,,,0.016,9,,E,1.2,26.0,88.0
32207060,2025/09/04,06,0.001,0,0.001,0.002,,0.024,,,,0.016,9,,NNE,1.1,26.3,88.0
32207060,2025/09/04,07,0,0,0.002,0.002,,0.017,,,,0.015,7,,SE,0.9,27.3,82.0
32207060,2025/09/04,08,0.001,0.001,0.001,0.002,,0.016,,,,0.012,6,,SSE,2.3,28.7,76.0
32207060,2025/09/04,09,0.001,0.001,0.002,0.002,,0.017,,,,0.015,7,,NNE,1.0,30.3,72.0
32207060,2025/09/04,10,0.001,0.001,0.002,0.002,,0.020,,,,0.015,8,,NE,1.6,31.3,71.0
32207060,2025/09/04,11,0.001,0.001,0.002,0.003,,0.023,,,,0.015,9,,E,1.2,30.2,73.0
32207060,2025/09/04,12,0,0,0.001,0.002,,0.021,,,,0.011,6,,SSW,2.6,29.8,73.0
32207060,2025/09/04,13,0,0,0.001,0.001,,0.016,,,,0.009,2,,E,1.1,26.8,94.0
32207060,2025/09/04,14,0,0,0.001,0.002,,0.016,,,,0.005,3,,ENE,0.7,27.4,89.0
32207060,2025/09/04,15,0,0,0.001,0.002,,0.015,,,,0.007,2,,E,0.8,28.1,87.0
32207060,2025/09/04,16,0,0,0.002,0.002,,0.015,,,,0.009,5,,ENE,0.6,28.5,89.0
32207060,2025/09/04,17,0,0,0.002,0.002,,0.015,,,,0.009,3,,E,0.9,28.2,85.0
32207060,2025/09/04,18,0,0,0.002,0.002,,0.013,,,,0.010,7,,ESE,0.5,27.6,92.0
32207060,2025/09/04,19,0,0.001,0.003,0.003,,0.013,,,,0.012,4,,ENE,1.2,26.9,91.0
32207060,2025/09/04,20,0,0,0.002,0.002,,0.012,,,,0.009,3,,NE,1.4,26.5,91.0
32207060,2025/09/04,21,0,0,0.001,0.001,,0.011,,,,0.004,3,,ENE,1.8,25.0,95.0
32207060,2025/09/04,22,0,0,0.002,0.002,,0.007,,,,0.006,0,,ENE,1.0,24.8,96.0
32207060,2025/09/04,23,0,0,0.002,0.002,,0.006,,,,0.005,2,,NE,1.5,26.0,94.0
32207060,2025/09/04,24,0,0,0.001,0.001,,0.005,,,,0.004,0,,NE,1.4,25.6,93.0
32207060,2025/09/05,01,0,0,0.001,0.001,,0.006,,,,0.006,1,,E,0.8,24.8,93.0
32207060,2025/09/05,02,0,0,0.001,0.002,,0.003,,,,0.003,2,,SSE,0.7,24.4,97.0
32207060,2025/09/05,03,0,0,0.001,0.001,,0.004,,,,0.005,1,,SE,0.7,25.0,96.0
32207060,2025/09/05,04,0,0.001,0.001,0.002,,0.001,,,,0.005,1,,S,0.6,24.7,97.0
32207060,2025/09/05,05,0,0.001,0.002,0.003,,0.001,,,,0.007,2,,S,0.8,23.8,98.0
32207060,2025/09/05,06,0,0.002,0.002,0.004,,0,,,,0.008,3,,SSW,1.2,24.7,98.0
32207060,2025/09/05,07,0,0.002,0.002,0.004,,0.002,,,,0.005,1,,SSW,1.2,25.5,96.0
32207060,2025/09/05,08,0.001,0.002,0.002,0.003,,0.003,,,,0.004,1,,SSW,1.1,26.0,95.0
32207060,2025/09/05,09,0,0.001,0.001,0.002,,0.007,,,,0.005,2,,WSW,1.0,28.6,87.0
32207060,2025/09/05,10,0,0.001,0.001,0.002,,0.010,,,,0.006,2,,WSW,1.5,29.4,88.0
32207060,2025/09/05,11,0,0.001,0.001,0.002,,0.013,,,,0.007,0,,WSW,0.8,29.4,86.0
32207060,2025/09/05,12,0,0.001,0.001,0.002,,0.015,,,,0.007,1,,NNW,1.6,29.7,81.0
32207060,2025/09/05,13,0.001,0.001,0.001,0.002,,0.023,,,,0.010,4,,NNE,3.8,29.7,83.0
32207060,2025/09/05,14,0.001,0.002,0.002,0.003,,0.022,,,,0.009,3,,N,3.4,29.9,78.0
32207060,2025/09/05,15,0.002,0.001,0.002,0.003,,0.025,,,,0.019,3,,NNE,5.7,26.9,95.0
32207060,2025/09/05,16,0.001,0,0.001,0.002,,0.035,,,,0.011,5,,NNE,4.8,27.8,84.0
32207060,2025/09/05,17,0.001,0,0.001,0.001,,0.038,,,,0.014,5,,NNE,4.5,28.0,81.0
32207060,2025/09/05,18,0,0,0.001,0.001,,0.041,,,,0.015,3,,NNE,4.1,28.4,81.0
32207060,2025/09/05,19,0.001,0.003,0.004,0.007,,0.039,,,,0.015,6,,NNE,2.0,27.4,82.0
32207060,2025/09/05,20,0,0,0.001,0.002,,0.039,,,,0.015,7,,E,1.0,27.2,88.0
32207060,2025/09/05,21,0,0,0.001,0.001,,0.032,,,,0.017,5,,ENE,0.8,26.5,90.0
32207060,2025/09/05,22,0,0,0.001,0.001,,0.031,,,,0.016,6,,SE,1.3,26.3,93.0
32207060,2025/09/05,23,0,0,0.001,0.001,,0.022,,,,0.014,4,,SSE,1.5,24.7,96.0
32207060,2025/09/05,24,0,0,0.001,0.001,,0.020,,,,0.015,4,,SE,1.0,25.0,96.0
32207060,2025/09/06,01,0,0,0.001,0.001,,0.017,,,,0.015,3,,S,0.5,24.4,97.0
32207060,2025/09/06,02,0,0,0.001,0.001,,0.014,,,,0.012,6,,SSE,0.8,23.3,98.0
32207060,2025/09/06,03,0,0,0.001,0.001,,0.016,,,,0.014,5,,SSE,1.3,23.8,97.0
32207060,2025/09/06,04,0,0,0.002,0.002,,0.015,,,,0.013,5,,SSE,1.0,23.1,97.0
32207060,2025/09/06,05,0.001,0,0.002,0.002,,0.014,,,,0.011,4,,SSE,0.8,23.3,97.0
32207060,2025/09/06,06,0,0,0.001,0.001,,0.015,,,,0.013,5,,SSE,1.2,22.8,97.0
32207060,2025/09/06,07,0,0,0.001,0.002,,0.017,,,,0.012,3,,SSE,1.0,24.2,95.0
32207060,2025/09/06,08,0,0,0.001,0.001,,0.018,,,,0.011,4,,ESE,0.9,26.6,89.0
32207060,2025/09/06,09,0,0,0.001,0.001,,0.024,,,,0.011,5,,E,0.8,28.5,75.0
32207060,2025/09/06,10,0.001,0,0.002,0.002,,0.034,,,,0.014,4,,NW,1.0,29.4,72.0
32207060,2025/09/06,11,0.001,0,0.001,0.001,,0.035,,,,0.012,4,,NNW,2.0,30.2,73.0
32207060,2025/09/06,12,0,0,0.001,0.001,,0.038,,,,0.015,6,,NW,0.9,30.3,70.0
32207060,2025/09/06,13,0,0,0.001,0.002,,0.036,,,,0.011,4,,NNW,1.5,30.5,69.0
32207060,2025/09/06,14,0.001,0,0.001,0.001,,0.037,,,,0.009,5,,W,1.4,31.4,64.0
32207060,2025/09/06,15,0.001,0,0.001,0.001,,0.038,,,,0.010,6,,WSW,1.4,30.8,62.0
32207060,2025/09/06,16,0,0,0.001,0.001,,0.039,,,,0.010,6,,WSW,1.3,30.3,65.0
32207060,2025/09/06,17,0,0,0.001,0.001,,0.042,,,,0.014,6,,WSW,1.0,29.8,67.0
32207060,2025/09/06,18,0.001,0,0.001,0.001,,0.044,,,,0.008,6,,SW,2.0,29.4,67.0
32207060,2025/09/06,19,0,0,0.001,0.001,,0.040,,,,0.011,5,,S,1.3,27.9,76.0
32207060,2025/09/06,20,0.001,0,0.001,0.001,,0.037,,,,0.008,4,,S,0.7,27.1,74.0
32207060,2025/09/06,21,0.001,0,0.002,0.002,,0.034,,,,0.011,7,,SSW,1.9,28.0,71.0
32207060,2025/09/06,22,0.001,0,0.001,0.001,,0.033,,,,0.013,5,,SSW,1.6,27.6,74.0
32207060,2025/09/06,23,0.001,0,0.001,0.001,,0.033,,,,0.010,7,,S,1.6,27.8,76.0
32207060,2025/09/06,24,0.001,0,0.001,0.001,,0.031,,,,0.014,5,,SSW,2.0,27.6,76.0
32207060,2025/09/07,01,0.001,0,0.001,0.001,,0.029,,,,0.010,6,,SSW,2.4,27.1,74.0
32207060,2025/09/07,02,0,0,0.001,0.001,,0.027,,,,0.010,7,,SSW,2.0,27.2,73.0
32207060,2025/09/07,03,0,0,0.001,0.001,,0.027,,,,0.012,5,,SSW,2.9,27.7,75.0
