測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
16201510,2025/09/01,01,,0,0.002,0.002,0.2,,0.01,1.97,1.98,0.017,,,,,,
16201510,2025/09/01,02,,0,0.002,0.002,0.3,,0.01,1.96,1.97,0.013,,,,,,
16201510,2025/09/01,03,,0,0.002,0.002,0.3,,0.01,1.94,1.95,0.016,,,,,,
16201510,2025/09/01,04,,0,0.002,0.002,0.3,,0,1.93,1.93,0.019,,,,,,
16201510,2025/09/01,05,,0,0.002,0.002,0.2,,0,1.95,1.95,0.019,,,,,,
16201510,2025/09/01,06,,0.001,0.004,0.005,0.3,,0,1.95,1.95,0.021,,,,,,
16201510,2025/09/01,07,,0.002,0.007,0.009,0.3,,0.01,1.94,1.95,0.020,,,,,,
16201510,2025/09/01,08,,0.004,0.012,0.016,0.3,,0.02,1.96,1.98,0.022,,,,,,
16201510,2025/09/01,09,,0.005,0.008,0.013,0.3,,0.01,1.94,1.95,0.020,,,,,,
16201510,2025/09/01,10,,0.004,0.009,0.013,0.3,,0.01,1.95,1.96,0.020,,,,,,
16201510,2025/09/01,11,,0.005,0.008,0.013,0.3,,0.01,1.94,1.95,0.017,,,,,,
16201510,2025/09/01,12,,0.002,0.006,0.008,0.3,,0.01,1.94,1.95,0.017,,,,,,
16201510,2025/09/01,13,,0.002,0.004,0.006,0.2,,0.01,1.94,1.95,0.022,,,,,,
16201510,2025/09/01,14,,0,0.002,0.002,0.3,,0.01,1.96,1.97,0.035,,,,,,
16201510,2025/09/01,15,,0.001,0.003,0.004,0.2,,0.01,1.94,1.95,0.014,,,,,,
16201510,2025/09/01,16,,0,0.003,0.003,0.2,,0,1.94,1.94,0.013,,,,,,
16201510,2025/09/01,17,,0.001,0.003,0.004,0.2,,0,1.93,1.93,0.004,,,,,,
16201510,2025/09/01,18,,0.001,0.003,0.004,0.2,,0,1.91,1.91,0.008,,,,,,
16201510,2025/09/01,19,,0.001,0.003,0.004,0.2,,0,1.98,1.98,0.007,,,,,,
16201510,2025/09/01,20,,0.001,0.005,0.006,0.2,,0,1.95,1.95,0.010,,,,,,
16201510,2025/09/01,21,,0.003,0.007,0.010,0.2,,0.02,1.99,2.01,0.017,,,,,,
16201510,2025/09/01,22,,0.001,0.005,0.006,0.2,,0.03,1.99,2.02,0.011,,,,,,
16201510,2025/09/01,23,,0.001,0.004,0.005,0.3,,0.02,1.94,1.96,0.021,,,,,,
16201510,2025/09/01,24,,0.001,0.004,0.005,0.3,,0.02,1.95,1.97,0.020,,,,,,
16201510,2025/09/02,01,,0,0.003,0.003,0.3,,-,-,-,0.019,,,,,,
16201510,2025/09/02,02,,0,0.003,0.003,0.3,,0.03,1.94,1.97,0.018,,,,,,
16201510,2025/09/02,03,,0,0.002,0.002,0.2,,0.02,1.92,1.94,0.016,,,,,,
16201510,2025/09/02,04,,0,0.002,0.002,0.2,,0,1.91,1.91,0.013,,,,,,
16201510,2025/09/02,05,,0.001,0.002,0.003,0.2,,0,1.91,1.91,0.012,,,,,,
16201510,2025/09/02,06,,0.001,0.003,0.004,0.2,,0.01,1.89,1.90,0.011,,,,,,
16201510,2025/09/02,07,,0.002,0.003,0.005,0.2,,0,1.89,1.89,0.011,,,,,,
16201510,2025/09/02,08,,0.006,0.007,0.013,0.2,,0.01,1.91,1.92,0.010,,,,,,
16201510,2025/09/02,09,,0.007,0.009,0.016,0.2,,0.01,1.89,1.90,0.011,,,,,,
16201510,2025/09/02,10,,0.006,0.007,0.013,0.2,,0.01,1.90,1.91,0.009,,,,,,
16201510,2025/09/02,11,,0.004,0.006,0.010,0.2,,0.02,1.90,1.92,0.012,,,,,,
16201510,2025/09/02,12,,0,0.002,0.002,0.2,,0.01,1.94,1.95,0.013,,,,,,
16201510,2025/09/02,13,,0.001,0.002,0.003,0.2,,0.01,1.95,1.96,0.011,,,,,,
16201510,2025/09/02,14,,0.001,0.002,0.003,0.2,,0,1.93,1.93,0.017,,,,,,
16201510,2025/09/02,15,,0.001,0.001,0.002,0.2,,0,1.92,1.92,0.016,,,,,,
16201510,2025/09/02,16,,0.001,0.002,0.003,0.2,,0,1.92,1.92,0.014,,,,,,
16201510,2025/09/02,17,,0.001,0.002,0.003,0.2,,0,1.92,1.92,0.015,,,,,,
16201510,2025/09/02,18,,0.001,0.003,0.004,0.2,,0,1.92,1.92,0.020,,,,,,
16201510,2025/09/02,19,,0.002,0.005,0.007,0.2,,0,1.91,1.91,0.024,,,,,,
16201510,2025/09/02,20,,0.002,0.006,0.008,0.2,,0,1.96,1.96,0.021,,,,,,
16201510,2025/09/02,21,,0.002,0.006,0.008,0.2,,0.03,1.99,2.02,0.028,,,,,,
16201510,2025/09/02,22,,0.002,0.003,0.005,0.2,,0.04,1.97,2.01,0.024,,,,,,
16201510,2025/09/02,23,,0.001,0.003,0.004,0.2,,0.02,1.95,1.97,0.025,,,,,,
16201510,2025/09/02,24,,0.001,0.002,0.003,0.2,,0.01,1.93,1.94,0.029,,,,,,
16201510,2025/09/03,01,,0.001,0.004,0.005,0.2,,0.02,1.99,2.01,0.031,,,,,,
16201510,2025/09/03,02,,0.001,0.003,0.004,0.2,,0.02,2.06,2.08,0.021,,,,,,
16201510,2025/09/03,03,,0,0.002,0.002,0.2,,0,2.03,2.03,0.028,,,,,,
16201510,2025/09/03,04,,0.001,0.002,0.003,0.2,,0.01,2.02,2.03,0.016,,,,,,
16201510,2025/09/03,05,,0.001,0.002,0.003,0.2,,0.01,1.93,1.94,0.018,,,,,,
16201510,2025/09/03,06,,0.001,0.003,0.004,0.2,,0.01,2.05,2.06,0.021,,,,,,
16201510,2025/09/03,07,,0,0.003,0.003,0.2,,0,1.96,1.96,0.021,,,,,,
16201510,2025/09/03,08,,0.004,0.009,0.013,0.2,,0,1.91,1.91,0.008,,,,,,
16201510,2025/09/03,09,,0.002,0.008,0.010,0.2,,0.02,1.92,1.94,0.008,,,,,,
16201510,2025/09/03,10,,0.002,0.007,0.009,0.2,,0.01,1.92,1.93,0.019,,,,,,
16201510,2025/09/03,11,,0.004,0.006,0.010,0.2,,0,1.92,1.92,0.011,,,,,,
16201510,2025/09/03,12,,0.001,0.003,0.004,0.2,,0,1.92,1.92,0.012,,,,,,
16201510,2025/09/03,13,,0.001,0.005,0.006,0.2,,0.01,1.95,1.96,0,,,,,,
16201510,2025/09/03,14,,0.001,0.004,0.005,0.2,,0,1.95,1.95,0.014,,,,,,
16201510,2025/09/03,15,,0.001,0.003,0.004,0.2,,0,1.92,1.92,0.014,,,,,,
16201510,2025/09/03,16,,0.001,0.004,0.005,0.2,,0,1.94,1.94,0.001,,,,,,
16201510,2025/09/03,17,,0.002,0.006,0.008,0.2,,0,1.96,1.96,0,,,,,,
16201510,2025/09/03,18,,0.002,0.006,0.008,0.2,,0.01,1.97,1.98,0.006,,,,,,
16201510,2025/09/03,19,,0.002,0.006,0.008,0.2,,0,1.96,1.96,0.012,,,,,,
16201510,2025/09/03,20,,0.001,0.004,0.005,0.2,,0.02,1.97,1.99,0.004,,,,,,
16201510,2025/09/03,21,,0.001,0.003,0.004,0.2,,0,1.97,1.97,0.010,,,,,,
16201510,2025/09/03,22,,0.001,0.004,0.005,0.2,,0.02,1.98,2.00,0.004,,,,,,
16201510,2025/09/03,23,,0.001,0.005,0.006,0.2,,0.06,2.02,2.08,0.010,,,,,,
16201510,2025/09/03,24,,0.001,0.005,0.006,0.2,,0.04,2.07,2.11,0.010,,,,,,
16201510,2025/09/04,01,,0.001,0.003,0.004,0.2,,0.02,2.04,2.06,0.004,,,,,,
16201510,2025/09/04,02,,0,0.002,0.002,-,,0,2.00,2.00,0.010,,,,,,
16201510,2025/09/04,03,,0,0.002,0.002,0.2,,0.01,2.02,2.03,0.004,,,,,,
16201510,2025/09/04,04,,0,0.002,0.002,0.2,,0,1.96,1.96,0.009,,,,,,
16201510,2025/09/04,05,,0.001,0.005,0.006,0.2,,0,2.09,2.09,0.007,,,,,,
16201510,2025/09/04,06,,0.001,0.005,0.006,0.2,,0.02,2.08,2.10,0.006,,,,,,
16201510,2025/09/04,07,,0.002,0.003,0.005,0.2,,0.02,2.06,2.08,0.016,,,,,,
